t,x,y
0.436156,105,194
0.498888,105,193
0.516853,89,182
0.535133,107,192
0.565431,107,191
0.601660,105,192
0.636441,103,193
0.668288,102,194
0.698757,101,194
0.734953,100,195
0.765097,99,195
0.801741,99,194
0.831842,98,193
0.868407,218,37
0.898621,229,42
0.935281,262,61
0.965127,234,83
0.995444,235,83
1.031976,240,81
1.068589,306,71
1.098558,301,72
1.134807,293,73
1.165447,293,73
1.202182,286,74
1.237820,292,74
1.268864,296,74
1.295635,318,72
1.335975,332,73
1.366017,137,316
1.396194,107,297
1.426391,136,319
1.466532,137,320
1.497007,138,322
1.527462,155,332
1.567715,136,311
1.597853,137,321
1.627599,149,332
2.038053,116,303
2.068088,112,301
2.098337,111,299
2.138163,116,306
2.168195,115,301
2.202557,119,300
2.231827,112,300
2.268171,76,309
2.299029,115,299
2.338032,109,303
2.368388,119,297
2.398570,120,298
2.438359,77,309
2.470827,75,309
2.504486,104,301
2.538672,105,300
2.564921,80,307
2.603333,82,308
2.637219,111,294
2.668086,252,122
2.704579,83,305
2.734939,83,303
2.765574,252,123
2.801611,252,123
3.340955,255,124
3.371418,255,124
3.402548,255,124
3.437709,256,124
3.465919,256,124
3.496195,256,124
3.536854,256,124
3.566891,256,124
3.597220,256,124
3.637547,257,123
3.667583,257,123
3.697908,257,123
3.737094,258,123
3.768501,258,123
3.798780,257,123
3.829844,257,123
3.870142,256,123
3.901841,256,123
3.931623,256,123
3.972140,256,123
4.002456,256,123
4.033178,256,123
4.063210,255,123
4.103460,255,123
4.133653,255,123
4.163698,255,123
4.204797,255,123
4.234950,491,190
4.264968,493,188
4.305152,488,190
4.335728,486,186
4.365755,492,188
4.406252,490,190
4.436621,483,187
4.466664,486,189
4.496954,490,189
4.537986,492,188
4.568313,483,189
4.599012,485,188
4.639693,492,190
4.669665,488,191
4.700293,489,189
4.732301,612,387
4.763541,255,124
4.794915,254,124
4.836866,253,124
4.874054,253,124
4.905250,251,124
4.937152,250,125
4.968444,249,125
4.999890,249,124
5.031716,249,124
5.063533,249,124
5.095149,249,123
5.136245,249,123
5.173757,250,123
5.204957,251,123
5.236682,251,123
5.267941,252,122
5.299421,252,122
5.331233,253,122
5.362852,253,122
5.394304,254,122
5.436344,255,122
5.473443,255,122
5.504649,256,122
5.536375,255,122
5.567669,255,122
5.599116,255,121
5.641138,254,122
5.662310,253,122
5.693809,251,123
5.735843,250,123
5.772243,249,123
5.804498,249,123
5.838870,248,123
5.867178,248,123
5.898954,249,123
5.930818,249,123
5.962319,249,122
5.993666,249,122
6.041232,250,122
6.072817,250,123
6.104026,250,123
6.135698,251,123
6.166976,251,123
6.198496,253,123
6.240465,253,123
6.261625,254,123
