t_sec,method,frame_idx,x_px,y_px,z_mm,x_spiral_px,y_spiral_px,s_spiral_px,err_px,depth_window,valid_depth_fraction
335076.250000,mp,116,332.43,238.10,644.0,340.00,240.00,0.00,7.80,5,1.0
335076.281000,mp,117,334.44,238.11,644.0,340.00,240.00,0.00,5.87,5,1.0
335076.312000,mp,118,337.30,237.81,644.0,340.00,240.00,0.00,3.47,5,1.0
335076.359000,mp,119,338.57,236.50,641.0,340.00,240.00,0.00,3.78,5,1.0
335076.390000,mp,120,339.88,236.92,641.0,340.00,240.00,0.00,3.08,5,1.0
335076.421000,mp,121,340.36,237.22,639.0,340.00,240.00,0.00,2.80,5,1.0
335076.453000,mp,122,343.41,238.54,638.0,340.41,240.61,0.74,3.64,5,1.0
335076.484000,mp,123,347.36,238.27,638.0,341.05,241.69,1.99,7.18,5,1.0
335076.515000,mp,124,348.02,238.63,637.0,341.29,242.14,2.50,7.58,5,1.0
335076.546000,mp,125,349.67,238.81,639.0,341.52,242.60,3.01,8.98,5,1.0
335076.578000,mp,126,350.34,239.74,639.0,341.85,243.30,3.79,9.20,5,1.0
335076.609000,mp,127,350.18,240.17,637.0,341.96,243.54,4.05,8.89,5,1.0
335076.640000,mp,128,349.59,240.25,637.0,341.96,243.54,4.05,8.32,5,1.0
335076.687000,mp,129,347.92,240.84,635.0,341.96,243.54,4.05,6.55,5,1.0
335076.718000,mp,130,347.62,240.75,638.0,341.85,243.30,3.79,6.31,5,1.0
335076.750000,mp,131,347.94,242.12,634.0,342.25,244.28,4.85,6.09,5,1.0
335076.781000,mp,132,347.31,241.99,637.0,342.16,244.03,4.58,5.54,5,1.0
335076.812000,mp,133,348.13,242.21,636.0,342.25,244.28,4.85,6.23,5,1.0
335076.843000,mp,134,347.71,242.57,636.0,342.35,244.53,5.12,5.71,5,1.0
335076.890000,mp,135,347.29,243.89,634.0,342.61,245.29,5.92,4.89,5,1.0
335076.921000,mp,136,346.81,244.85,635.0,342.85,246.08,6.74,4.15,5,1.0
335076.953000,mp,137,346.50,246.02,634.0,343.06,246.88,7.57,3.55,5,1.0
