t_sec,method,frame_idx,x_px,y_px,z_mm,x_spiral_px,y_spiral_px,s_spiral_px,err_px,depth_window,valid_depth_fraction
335240.156000,hsv,418,331.03,242.50,417.0,340.00,240.00,0.00,9.32,5,1.0
335240.187000,hsv,419,331.85,243.42,417.0,340.00,240.00,0.00,8.84,5,1.0
335240.234000,hsv,420,331.93,243.96,418.0,340.00,240.00,0.00,8.99,5,1.0
335240.265000,hsv,421,330.51,244.23,418.0,340.00,240.00,0.00,10.39,5,1.0
335240.296000,hsv,422,329.77,243.91,418.0,340.00,240.00,0.00,10.95,5,1.0
335240.328000,hsv,423,329.63,244.01,418.0,340.00,240.00,0.00,11.12,5,1.0
335240.359000,hsv,424,329.48,244.65,417.0,340.00,240.00,0.00,11.51,5,1.0
335240.390000,hsv,425,328.64,245.60,417.0,340.00,240.00,0.00,12.66,5,1.0
335240.421000,hsv,426,329.47,246.43,417.0,340.00,240.00,0.00,12.34,5,1.0
335240.453000,hsv,427,329.13,247.02,417.0,340.00,240.00,0.00,12.94,5,1.0
335240.500000,hsv,428,328.58,248.18,417.0,340.41,240.61,0.74,14.04,5,1.0
335240.531000,hsv,429,328.90,249.07,416.0,341.96,243.54,4.05,14.17,5,1.0
335240.562000,hsv,430,327.74,249.43,416.0,341.75,243.06,3.53,15.38,5,1.0
335240.593000,hsv,431,327.39,248.98,416.0,340.41,240.61,0.74,15.48,5,1.0
335240.625000,hsv,432,327.28,248.69,416.0,340.00,240.00,0.00,15.41,5,1.0
335240.656000,hsv,433,327.70,247.43,416.0,340.00,240.00,0.00,14.37,5,1.0
335240.687000,hsv,434,327.74,246.37,415.0,340.00,240.00,0.00,13.82,5,1.0
335240.718000,hsv,435,328.79,245.62,415.0,340.00,240.00,0.00,12.54,5,1.0
335240.750000,hsv,436,329.14,245.09,415.0,340.00,240.00,0.00,11.99,5,1.0
335240.781000,hsv,437,329.44,244.68,415.0,340.00,240.00,0.00,11.55,5,1.0
335240.828000,hsv,438,329.87,244.08,414.0,340.00,240.00,0.00,10.92,5,1.0
335240.859000,hsv,439,329.95,243.90,414.0,340.00,240.00,0.00,10.79,5,1.0
335240.890000,hsv,440,330.43,243.69,415.0,340.00,240.00,0.00,10.26,5,1.0
335240.921000,hsv,441,332.16,243.47,415.0,340.00,240.00,0.00,8.58,5,1.0
335240.953000,hsv,442,335.37,243.72,415.0,340.28,240.41,0.49,5.92,5,1.0
335240.984000,hsv,443,338.61,243.80,415.0,341.41,242.36,2.76,3.14,5,1.0
335241.015000,hsv,444,340.61,243.87,415.0,341.85,243.30,3.79,1.37,5,1.0
335241.062000,hsv,445,341.74,243.96,415.0,342.06,243.79,4.32,0.36,5,1.0
335241.093000,hsv,446,342.18,243.64,415.0,342.06,243.79,4.32,0.19,5,1.0
335241.125000,hsv,447,342.90,242.60,414.0,341.75,243.06,3.53,1.24,5,1.0
335241.156000,hsv,448,344.64,241.83,415.0,341.75,243.06,3.53,3.14,5,1.0
335241.203000,hsv,449,346.44,241.55,414.0,341.96,243.54,4.05,4.91,5,1.0
335241.218000,hsv,450,349.69,240.92,415.0,342.16,244.03,4.58,8.15,5,1.0
335241.250000,hsv,451,352.18,240.61,412.0,342.25,244.28,4.85,10.59,5,1.0
335241.296000,hsv,452,352.86,240.93,412.0,342.44,244.78,5.38,11.11,5,1.0
335241.312000,hsv,453,352.73,242.05,415.0,342.61,245.29,5.92,10.63,5,1.0
335241.359000,hsv,454,352.63,243.21,414.0,342.85,246.08,6.74,10.20,5,1.0
335241.390000,hsv,455,350.90,244.04,415.0,342.92,246.34,7.02,8.31,5,1.0
335241.421000,hsv,456,350.38,245.01,415.0,343.06,246.88,7.57,7.56,5,1.0
335241.453000,hsv,457,348.71,246.56,415.0,343.24,247.70,8.41,5.59,5,1.0
335241.484000,hsv,458,348.38,247.59,414.0,343.39,248.54,9.26,5.08,5,1.0
335241.515000,hsv,459,347.95,248.86,414.0,343.51,249.39,10.13,4.47,5,1.0
335241.546000,hsv,460,348.17,249.50,414.0,343.58,249.97,10.71,4.61,5,1.0
335241.578000,hsv,461,348.32,250.03,413.0,343.63,250.55,11.29,4.72,5,1.0
335241.609000,hsv,462,348.31,250.19,413.0,343.63,250.55,11.29,4.70,5,1.0
335241.656000,hsv,463,348.66,249.97,413.0,343.61,250.26,11.00,5.06,5,1.0
335241.687000,hsv,464,349.13,250.05,413.0,343.63,250.55,11.29,5.53,5,1.0
335241.718000,hsv,465,349.83,250.58,412.0,343.65,250.85,11.59,6.19,5,1.0
335241.765000,hsv,466,349.86,250.97,413.0,343.67,251.14,11.88,6.19,5,1.0
335241.781000,hsv,467,350.62,250.67,413.0,343.67,251.14,11.88,6.97,5,1.0
335241.828000,hsv,468,352.39,250.61,411.0,343.67,251.14,11.88,8.73,5,1.0
