freq_cpp,psd
0.000000,1.403247813165e+03
0.002941,6.556310690854e+03
0.005882,1.746268841990e+03
0.008824,3.188501785618e+02
0.011765,1.189080935619e+02
0.014706,1.280055594548e+02
0.017647,2.044262472396e+02
0.020588,1.828484935627e+02
0.023529,1.254452181960e+02
0.026471,1.206456786255e+02
0.029412,4.812481863129e+01
0.032353,6.803373262404e+01
0.035294,8.623044006553e+01
0.038235,7.126370609654e+01
0.041176,2.256981951828e+01
0.044118,2.637932139514e+01
0.047059,1.518581145675e+01
0.050000,1.735781231491e+01
0.052941,1.389829424410e+01
0.055882,1.393882950748e+01
0.058824,1.713275015927e+01
0.061765,1.732887124863e+01
0.064706,1.906704376084e+01
0.067647,1.852586135183e+01
0.070588,1.475817550606e+01
0.073529,8.065242109389e+00
0.076471,1.005784612359e+01
0.079412,1.041558546652e+01
0.082353,8.969455562539e+00
0.085294,6.059489724884e+00
0.088235,3.883270256081e+00
0.091176,4.239010597458e+00
0.094118,2.069650402505e+00
0.097059,1.433624609349e+00
0.100000,2.489832168236e+00
0.102941,2.358942017616e+00
0.105882,9.785992095438e-01
0.108824,1.532580822648e+00
0.111765,8.356859530663e-01
0.114706,6.422962048855e-01
0.117647,9.776619363979e-01
0.120588,5.836004670056e-01
0.123529,5.986734929053e-01
0.126471,6.960256778046e-01
0.129412,3.177681868530e-01
0.132353,4.057630860435e-01
0.135294,4.301138112943e-01
0.138235,2.303403372581e-01
0.141176,4.431444413642e-01
0.144118,4.430540702219e-01
0.147059,4.291272897388e-01
0.150000,4.992656016662e-01
0.152941,3.214050278827e-01
0.155882,2.459825344622e-01
0.158824,3.445438496519e-01
0.161765,2.682261665280e-01
0.164706,2.793841943759e-01
0.167647,2.675625881079e-01
0.170588,1.591858577351e-01
0.173529,2.585541192601e-01
0.176471,2.927011192496e-01
0.179412,1.784679384473e-01
0.182353,1.733037149940e-01
0.185294,9.454930109367e-02
0.188235,1.000805706077e-01
0.191176,2.276959751714e-01
0.194118,1.930796731914e-01
0.197059,9.718029340461e-02
0.200000,1.162931708128e-01
0.202941,7.436596828433e-02
0.205882,6.253651830443e-02
0.208824,1.214284697621e-01
0.211765,9.529399695421e-02
0.214706,5.847159816976e-02
0.217647,8.819827759907e-02
0.220588,4.710507559958e-02
0.223529,3.332657047439e-02
0.226471,6.472788809829e-02
0.229412,5.785492340640e-02
0.232353,3.731886198103e-02
0.235294,4.885218854177e-02
0.238235,2.872428384828e-02
0.241176,2.019971087271e-02
0.244118,3.282320068514e-02
0.247059,3.806315892015e-02
0.250000,1.773733939274e-02
