t_sec,method,frame_idx,x_px,y_px,z_mm,x_spiral_px,y_spiral_px,s_spiral_px,err_px,depth_window,valid_depth_fraction
122757.453000,mp,301,335.01,238.67,400.0,335.00,240.00,0.00,1.33,5,1.0
122757.484000,mp,302,334.99,237.92,399.0,335.00,240.00,0.00,2.08,5,1.0
122757.515000,mp,303,334.99,237.92,400.0,335.00,240.00,0.00,2.08,5,1.0
122757.546000,mp,304,335.42,237.97,400.0,335.00,240.00,0.00,2.07,5,1.0
122757.593000,mp,305,336.03,237.98,400.0,335.00,240.00,0.00,2.27,5,1.0
122757.625000,mp,306,336.28,238.42,399.0,335.00,240.00,0.00,2.04,5,1.0
122757.656000,mp,307,336.46,238.64,399.0,335.00,240.00,0.00,2.00,5,1.0
122757.687000,mp,308,336.76,238.73,399.0,335.00,240.00,0.00,2.17,5,1.0
122757.718000,mp,309,336.87,238.94,399.0,335.11,240.15,0.19,2.14,5,1.0
122757.750000,mp,310,336.87,239.53,399.0,335.32,240.46,0.56,1.81,5,1.0
122757.781000,mp,311,336.39,240.25,398.0,335.53,240.78,0.94,1.01,5,1.0
122757.828000,mp,312,336.39,240.34,397.0,335.53,240.78,0.94,0.97,5,1.0
122757.859000,mp,313,336.39,240.86,397.0,335.83,241.27,1.52,0.70,5,1.0
122757.890000,mp,314,336.13,242.56,395.0,336.46,242.49,2.89,0.34,5,1.0
122757.921000,mp,315,335.50,244.49,396.0,337.07,244.00,4.52,1.64,5,1.0
122757.953000,mp,316,334.57,246.33,394.0,337.53,245.62,6.20,3.05,5,1.0
122757.984000,mp,317,333.31,248.17,393.0,337.87,247.55,8.17,4.60,5,1.0
122758.015000,mp,318,331.20,249.82,393.0,337.99,249.83,10.45,6.79,5,1.0
122758.062000,mp,319,328.94,251.87,393.0,337.59,253.65,14.30,8.83,5,1.0
122758.093000,mp,320,326.89,253.06,394.0,336.76,256.58,17.35,10.49,5,1.0
122758.125000,mp,321,324.09,255.01,393.0,334.05,261.88,23.31,12.10,5,1.0
122758.156000,mp,322,320.86,256.60,393.0,329.77,266.69,29.77,13.46,5,1.0
122758.187000,mp,323,317.24,257.11,392.0,324.31,270.43,36.40,15.08,5,1.0
122758.218000,mp,324,314.44,258.06,391.0,318.72,272.68,42.44,15.24,5,1.0
122758.250000,mp,325,310.23,259.59,392.0,310.63,273.97,50.65,14.39,5,1.0
122758.281000,mp,326,306.72,260.88,392.0,304.98,273.70,56.31,12.94,5,1.0
122758.328000,mp,327,302.62,261.43,393.0,299.23,272.46,62.20,11.55,5,1.0
122758.359000,mp,328,299.42,261.43,393.0,295.41,271.09,66.26,10.46,5,1.0
122758.390000,mp,329,295.92,261.18,394.0,291.29,269.06,70.85,9.14,5,1.0
