t_sec,method,frame_idx,x_px,y_px,z_mm,x_spiral_px,y_spiral_px,s_spiral_px,err_px,depth_window,valid_depth_fraction
122770.734000,hsv,166,339.34,242.69,502.0,336.93,243.61,4.11,2.58,5,1.0
122770.765000,hsv,167,340.58,242.69,506.0,337.07,244.00,4.52,3.74,5,1.0
122770.796000,hsv,168,341.85,242.96,504.0,337.20,244.39,4.93,4.87,5,1.0
122770.828000,hsv,169,343.11,244.11,504.0,337.48,245.41,5.99,5.77,5,1.0
122770.859000,hsv,170,344.92,243.35,505.0,337.43,245.20,5.78,7.71,5,1.0
122770.890000,hsv,171,346.04,243.25,504.0,337.48,245.41,5.99,8.82,5,1.0
122770.921000,hsv,172,347.65,243.24,503.0,337.53,245.62,6.20,10.40,5,1.0
122770.968000,hsv,173,349.06,243.65,503.0,337.62,246.04,6.63,11.68,5,1.0
122771.000000,hsv,174,351.60,243.81,502.0,337.71,246.46,7.07,14.15,5,1.0
122771.031000,hsv,175,353.83,243.96,501.0,337.74,246.68,7.29,16.31,5,1.0
122771.062000,hsv,176,357.63,244.69,501.0,337.84,247.33,7.95,19.97,5,1.0
122771.093000,hsv,177,362.00,245.21,499.0,337.89,247.78,8.39,24.25,5,1.0
122771.125000,hsv,178,368.24,246.79,498.0,337.96,248.68,9.30,30.34,5,1.0
122771.171000,hsv,179,376.42,249.77,497.0,404.80,249.09,329.67,28.39,5,1.0
122771.203000,hsv,180,386.72,252.12,496.0,404.81,252.54,333.12,18.10,5,1.0
122771.234000,hsv,181,398.28,255.41,496.0,404.67,256.00,336.58,6.42,5,1.0
122771.265000,hsv,182,411.96,251.47,493.0,404.82,251.68,332.25,7.14,5,1.0
122771.296000,hsv,183,421.36,257.85,494.0,404.61,256.87,337.45,16.78,5,1.0
122771.328000,hsv,184,434.14,254.38,491.0,404.79,253.41,333.98,29.37,5,1.0
122771.359000,hsv,185,443.19,255.74,492.0,473.27,240.56,1070.03,33.70,5,1.0
122771.406000,hsv,186,450.84,257.67,492.0,473.27,240.56,1070.03,28.21,5,1.0
122771.437000,hsv,187,456.72,261.79,493.0,473.27,240.56,1070.03,26.92,5,1.0
122771.468000,hsv,188,464.38,262.47,491.0,473.27,240.56,1070.03,23.65,5,1.0
122771.500000,hsv,189,471.24,263.73,491.0,473.27,240.56,1070.03,23.26,5,1.0
122771.531000,hsv,190,477.89,265.79,493.0,473.27,240.56,1070.03,25.66,5,1.0
122771.562000,hsv,191,483.65,268.60,493.0,473.27,240.56,1070.03,29.90,5,1.0
122771.609000,hsv,192,489.35,271.86,490.0,473.27,240.56,1070.03,35.19,5,1.0
122771.640000,hsv,193,493.89,274.11,494.0,473.27,240.56,1070.03,39.38,5,1.0
122771.671000,hsv,194,496.64,276.90,492.0,473.27,240.56,1070.03,43.21,5,1.0
122771.703000,hsv,195,498.44,279.04,492.0,473.27,240.56,1070.03,45.99,5,1.0
122771.734000,hsv,196,498.92,281.12,492.0,473.27,240.56,1070.03,47.99,5,1.0
122771.765000,hsv,197,497.96,281.71,492.0,473.27,240.56,1070.03,47.99,5,1.0
122771.796000,hsv,198,496.68,283.11,494.0,473.27,240.56,1070.03,48.57,5,1.0
122771.828000,hsv,199,494.25,283.01,497.0,473.27,240.56,1070.03,47.36,5,1.0
122771.875000,hsv,200,491.52,280.45,498.0,473.27,240.56,1070.03,43.87,5,1.0
122771.906000,hsv,201,487.20,277.34,499.0,473.27,240.56,1070.03,39.33,5,1.0
122771.937000,hsv,202,482.84,273.14,500.0,473.27,240.56,1070.03,33.96,5,1.0
122771.968000,hsv,203,478.87,269.32,504.0,473.27,240.56,1070.03,29.30,5,1.0
122772.000000,hsv,204,475.18,265.62,504.0,473.27,240.56,1070.03,25.14,5,1.0
122772.031000,hsv,205,472.17,262.22,504.0,473.27,240.56,1070.03,21.70,5,1.0
122772.062000,hsv,206,469.18,259.21,505.0,473.27,240.56,1070.03,19.10,5,1.0
122772.093000,hsv,207,466.76,256.48,508.0,473.27,240.56,1070.03,17.21,5,1.0
122772.140000,hsv,208,465.28,253.70,507.0,473.27,240.56,1070.03,15.38,5,1.0
122772.171000,hsv,209,463.70,251.74,509.0,473.27,240.56,1070.03,14.72,5,1.0
