t_sec,method,frame_idx,x_px,y_px,z_mm,x_spiral_px,y_spiral_px,s_spiral_px,err_px,depth_window,valid_depth_fraction
159918.312000,mp,242,328.50,237.33,354.0,990.00,540.00,0.00,7.51,5,1.0
159918.359000,mp,243,328.50,239.24,353.0,990.00,540.00,0.00,4.82,5,1.0
159918.421000,mp,244,328.79,239.24,353.0,990.00,540.00,0.00,4.00,5,1.0
159918.453000,mp,245,328.79,239.27,352.0,990.00,540.00,0.00,3.98,5,1.0
159918.515000,mp,246,329.14,239.45,352.0,990.00,540.00,0.00,2.85,5,1.0
159918.546000,mp,247,329.41,240.00,353.0,990.00,540.00,0.00,1.77,5,1.0
159918.625000,mp,248,330.11,241.58,352.0,991.96,541.60,2.53,2.54,5,1.0
159918.671000,mp,249,330.11,241.58,352.0,991.96,541.60,2.53,2.54,5,1.0
159918.718000,mp,250,329.85,240.63,352.0,990.40,540.30,0.50,1.42,5,1.0
159918.765000,mp,251,329.46,240.45,353.0,990.00,540.00,0.00,1.90,5,1.0
159918.828000,mp,252,329.46,240.63,352.0,990.00,540.00,0.00,2.15,5,1.0
159918.875000,mp,253,330.63,240.80,352.0,991.96,541.60,2.53,0.22,5,1.0
159918.921000,mp,254,331.16,241.50,351.0,993.46,543.02,4.60,0.35,5,1.0
159918.968000,mp,255,332.92,243.49,351.0,997.86,548.47,11.61,1.08,5,1.0
159919.015000,mp,256,334.50,244.66,345.0,1000.12,552.41,16.16,3.89,5,1.0
159919.062000,mp,257,334.50,247.42,347.0,1002.18,557.34,21.50,1.46,5,1.0
159919.125000,mp,258,334.07,250.26,345.0,1003.64,562.72,27.08,1.49,5,1.0
159919.171000,mp,259,333.72,253.89,344.0,1004.59,571.16,35.59,3.43,5,1.0
159919.218000,mp,260,333.47,255.70,341.0,1004.52,575.27,39.70,4.10,5,1.0
159919.265000,mp,261,333.46,257.80,340.0,1003.90,580.90,45.37,3.62,5,1.0
159919.328000,mp,262,332.99,261.34,340.0,1002.02,588.81,53.50,3.14,5,1.0
