t_sec,method,frame_idx,x_px,y_px,z_mm,x_spiral_px,y_spiral_px,s_spiral_px,err_px,depth_window,valid_depth_fraction
167119.093000,hsv,1195,331.00,240.00,263.0,990.00,540.00,0.00,5.25,5,1.0
167119.140000,hsv,1196,331.00,241.00,262.0,990.00,540.00,0.00,5.71,5,1.0
167119.171000,hsv,1197,335.00,243.00,260.0,995.15,545.67,7.68,1.76,5,1.0
167119.234000,hsv,1198,333.00,243.00,260.0,993.33,543.34,4.73,5.32,5,1.0
167119.296000,hsv,1199,333.00,243.00,260.0,993.33,543.34,4.73,5.32,5,1.0
167119.343000,hsv,1200,333.00,242.00,260.0,992.04,541.92,2.81,3.80,5,1.0
167119.390000,hsv,1201,333.00,242.00,260.0,992.04,541.92,2.81,3.80,5,1.0
167119.437000,hsv,1202,333.00,242.00,260.0,992.04,541.92,2.81,3.80,5,1.0
167119.484000,hsv,1203,332.00,243.00,260.0,992.04,541.92,2.81,6.98,5,1.0
167119.531000,hsv,1204,333.00,243.00,260.0,993.33,543.34,4.73,5.32,5,1.0
167119.578000,hsv,1205,338.00,240.00,262.0,994.26,544.48,6.19,7.68,5,1.0
167119.625000,hsv,1206,344.00,249.00,263.0,1001.60,562.19,25.57,12.55,5,1.0
167119.671000,hsv,1207,340.00,272.00,257.0,990.61,601.67,67.62,17.71,5,1.0
167119.734000,hsv,1208,342.00,305.00,nan,970.49,619.71,94.83,77.13,5,0.0
167119.781000,hsv,1209,342.00,317.00,248.0,965.03,622.70,101.04,100.88,5,1.0
167119.828000,hsv,1210,358.00,294.00,nan,986.09,607.11,74.70,80.55,5,0.0
167119.875000,hsv,1211,360.00,258.00,nan,1001.76,574.47,37.89,48.61,5,0.0
167121.562000,hsv,1245,463.00,473.00,304.0,1093.99,794.88,1208.94,328.35,5,1.0
167121.593000,hsv,1246,475.00,471.00,305.0,1103.37,788.10,1197.37,340.55,5,1.0
167121.640000,hsv,1247,480.00,465.00,305.0,1110.20,782.80,1188.72,336.79,5,1.0
167121.703000,hsv,1248,478.00,457.00,304.0,1112.43,780.99,1185.85,319.96,5,1.0
167121.750000,hsv,1249,477.00,450.00,309.0,1114.64,779.16,1182.98,306.42,5,1.0
167121.796000,hsv,1250,487.00,449.00,307.0,1123.27,771.64,1171.53,319.50,5,1.0
167121.859000,hsv,1251,528.00,476.00,nan,1129.52,765.80,1162.98,426.89,5,0.0
167122.890000,hsv,1272,399.00,473.00,317.0,1039.90,824.29,1270.62,259.15,5,1.0
167122.937000,hsv,1273,401.00,471.00,319.0,1042.64,823.14,1267.65,256.73,5,1.0
167122.984000,hsv,1274,398.00,438.00,326.0,1056.11,817.00,1252.84,186.27,5,1.0
167123.031000,hsv,1275,396.00,420.00,330.0,1064.00,813.01,1244.00,148.02,5,1.0
167123.078000,hsv,1276,398.00,393.00,332.0,1084.29,801.30,1220.57,97.49,5,1.0
167123.140000,hsv,1277,399.00,392.00,333.0,1086.74,799.73,1217.66,96.80,5,1.0
167123.187000,hsv,1278,405.00,403.00,332.0,1084.29,801.30,1220.57,124.92,5,1.0
167123.234000,hsv,1279,410.00,408.00,331.0,1086.74,799.73,1217.66,140.46,5,1.0
167123.281000,hsv,1280,430.00,404.00,331.0,1107.94,784.59,1191.60,159.34,5,1.0
167123.328000,hsv,1281,442.00,402.00,331.0,1121.15,773.55,1174.38,173.20,5,1.0
167123.375000,hsv,1282,446.00,392.00,335.0,1129.52,765.80,1162.98,162.77,5,1.0
167123.437000,hsv,1283,447.00,383.00,337.0,1137.53,757.75,1151.62,150.09,5,1.0
167123.484000,hsv,1284,451.00,350.00,340.0,1164.19,725.25,1109.55,109.89,5,1.0
167123.515000,hsv,1285,449.00,340.00,342.0,1171.84,713.71,1095.69,93.70,5,1.0
167123.578000,hsv,1286,445.00,335.00,343.0,1173.29,711.36,1092.93,80.10,5,1.0
167123.625000,hsv,1287,434.00,323.00,343.0,1177.50,704.25,1084.67,45.03,5,1.0
167123.687000,hsv,1288,428.00,321.00,343.0,1176.12,706.63,1087.42,31.09,5,1.0
167123.734000,hsv,1289,414.00,324.00,344.0,1164.19,725.25,1109.55,8.22,5,1.0
167123.781000,hsv,1290,410.00,324.00,344.0,1162.58,727.52,1112.33,1.48,5,1.0
167123.828000,hsv,1291,402.00,318.00,344.0,1162.58,727.52,1112.33,21.71,5,1.0
167123.875000,hsv,1292,399.00,311.00,345.0,1167.32,720.67,1103.99,36.23,5,1.0
167123.937000,hsv,1293,395.00,304.00,345.0,1173.29,711.36,1092.93,52.27,5,1.0
167123.984000,hsv,1294,392.00,302.00,344.0,1173.29,711.36,1092.93,60.38,5,1.0
167124.031000,hsv,1295,383.00,291.00,346.0,1181.47,697.05,1076.45,90.25,5,1.0
167124.078000,hsv,1296,380.00,291.00,345.0,1178.85,701.86,1081.93,96.18,5,1.0
167124.125000,hsv,1297,368.00,288.00,349.0,992.80,598.54,63.80,90.01,5,1.0
167124.171000,hsv,1298,368.00,283.00,347.0,994.76,595.34,60.05,84.14,5,1.0
167124.218000,hsv,1299,365.00,270.00,347.0,999.21,585.55,49.28,65.81,5,1.0
167124.281000,hsv,1300,361.00,262.00,348.0,1001.03,578.99,42.48,52.29,5,1.0
167124.328000,hsv,1301,354.00,241.00,347.0,999.87,555.01,18.18,38.79,5,1.0
167124.375000,hsv,1302,353.00,237.00,347.0,998.02,550.52,13.32,40.14,5,1.0
167124.421000,hsv,1303,349.00,226.00,347.0,991.71,541.59,2.33,47.11,5,1.0
167124.468000,hsv,1304,348.00,224.00,349.0,990.35,540.30,0.46,48.83,5,1.0
167124.531000,hsv,1305,343.00,216.00,347.0,990.00,540.00,0.00,58.22,5,1.0
167124.578000,hsv,1306,341.00,212.00,346.0,990.00,540.00,0.00,65.32,5,1.0
167124.625000,hsv,1307,337.00,208.00,346.0,990.00,540.00,0.00,72.47,5,1.0
167124.671000,hsv,1308,336.00,208.00,347.0,990.00,540.00,0.00,72.25,5,1.0
167124.718000,hsv,1309,338.00,210.00,345.0,990.00,540.00,0.00,68.31,5,1.0
167124.765000,hsv,1310,339.00,210.00,345.0,990.00,540.00,0.00,68.69,5,1.0
167124.812000,hsv,1311,339.00,215.00,349.0,990.00,540.00,0.00,57.68,5,1.0
167124.859000,hsv,1312,339.00,215.00,348.0,990.00,540.00,0.00,57.68,5,1.0
167124.921000,hsv,1313,342.00,219.00,349.0,990.00,540.00,0.00,51.12,5,1.0
167124.953000,hsv,1314,344.00,224.00,349.0,990.00,540.00,0.00,43.27,5,1.0
167125.000000,hsv,1315,344.00,229.00,348.0,990.69,540.61,0.93,34.45,5,1.0
167125.062000,hsv,1316,344.00,234.00,350.0,993.65,543.72,5.21,26.66,5,1.0
167125.109000,hsv,1317,344.00,237.00,350.0,995.43,546.08,8.18,22.57,5,1.0
167125.156000,hsv,1318,345.00,236.00,350.0,995.15,545.67,7.68,25.70,5,1.0
167125.218000,hsv,1319,345.00,239.00,350.0,997.05,548.67,11.23,22.09,5,1.0
167125.265000,hsv,1320,346.00,247.00,352.0,1001.08,559.34,22.67,17.79,5,1.0
167125.312000,hsv,1321,347.00,251.00,353.0,1001.99,565.74,29.15,18.79,5,1.0
167125.359000,hsv,1322,346.00,253.00,354.0,1002.09,569.42,32.83,16.41,5,1.0
167125.406000,hsv,1323,347.00,253.00,353.0,1002.09,569.42,32.83,18.66,5,1.0
