t_sec,method,frame_idx,x_px,y_px,z_mm,dot_x_px,dot_y_px,dot_dist_px,x_spiral_px,y_spiral_px,s_spiral_px,err_px,depth_window,valid_depth_fraction
3388.500000,hsv,88,1012.43,540.38,604.0,990.00,540.00,9.33,994.26,544.48,6.19,6.52,5,1.0
3388.546000,hsv,89,1013.81,541.85,605.0,990.69,540.61,9.74,995.15,545.67,7.68,6.47,5,1.0
3388.578000,hsv,90,1012.21,547.50,602.0,991.37,541.26,9.97,997.05,548.67,11.23,2.41,5,1.0
3388.609000,hsv,91,1012.21,547.50,605.0,992.04,541.92,9.04,997.05,548.67,11.23,2.41,5,1.0
3388.625000,hsv,92,1012.34,543.23,604.0,992.37,542.27,6.95,995.43,546.08,8.18,4.77,5,1.0
3388.656000,hsv,93,1012.30,544.65,605.0,993.02,542.98,6.43,995.99,546.92,9.19,3.95,5,1.0
3388.687000,hsv,94,1007.85,550.21,605.0,993.65,543.72,6.87,997.55,549.59,12.27,1.77,5,1.0
3388.718000,hsv,95,1010.87,544.60,607.0,994.26,544.48,3.90,995.71,546.50,8.68,3.09,5,1.0
3388.765000,hsv,96,1009.45,544.56,608.0,995.15,545.67,2.24,995.15,545.67,7.68,2.24,5,1.0
3388.796000,hsv,97,1005.00,550.12,607.0,995.71,546.50,4.12,996.79,548.23,10.72,3.58,5,1.0
3388.828000,hsv,98,1003.67,547.22,608.0,996.26,547.35,3.52,995.15,545.67,7.68,2.85,5,1.0
3388.859000,hsv,99,1006.65,543.04,608.0,996.79,548.23,5.49,993.95,544.09,5.70,1.47,5,1.0
3388.890000,hsv,100,1005.13,545.85,605.0,997.30,549.13,4.76,994.85,545.27,7.18,1.16,5,1.0
3388.921000,hsv,101,1006.56,545.89,609.0,997.79,550.05,5.05,995.15,545.67,7.68,0.32,5,1.0
3388.968000,hsv,102,1006.51,547.31,605.0,998.47,551.48,5.50,995.71,546.50,8.68,1.16,5,1.0
3389.000000,hsv,103,1006.65,543.04,609.0,998.90,552.46,10.20,993.95,544.09,5.70,1.47,5,1.0
3389.046000,hsv,104,1002.20,548.60,607.0,999.50,553.97,9.51,995.43,546.08,8.18,4.55,5,1.0
3389.078000,hsv,105,999.26,551.36,611.0,999.87,555.01,11.04,995.99,546.92,9.19,7.91,5,1.0
3389.093000,hsv,106,999.08,557.05,615.0,1000.04,555.53,10.84,999.11,552.96,15.99,10.62,5,1.0
3389.125000,hsv,107,992.43,586.77,619.0,1000.37,556.60,34.17,996.15,592.75,57.11,13.25,5,1.0
3389.171000,hsv,108,997.31,612.57,262.0,1000.82,558.23,55.84,984.42,608.85,77.12,5.16,5,1.0
3389.187000,hsv,109,998.33,625.43,261.0,1000.95,558.78,67.76,978.91,613.82,84.54,15.22,5,1.0
3389.234000,hsv,110,998.56,618.31,266.0,1001.31,560.47,59.16,982.06,611.11,80.38,9.95,5,1.0
3389.265000,hsv,111,998.17,585.52,616.0,1001.51,561.61,27.16,997.68,589.49,53.51,9.88,5,1.0
3389.296000,hsv,112,1004.03,535.84,613.0,1001.69,562.77,28.30,990.00,540.00,0.00,5.14,5,1.0
3389.328000,hsv,113,1005.95,520.22,616.0,1001.83,563.95,44.34,990.00,540.00,0.00,20.27,5,1.0
3389.359000,hsv,114,1005.32,540.15,615.0,1001.89,564.54,25.64,992.04,541.92,2.81,2.63,5,1.0
3389.390000,hsv,115,1000.75,594.16,620.0,1001.99,565.74,30.62,994.00,596.62,61.54,4.24,5,1.0
3389.437000,hsv,116,985.38,629.29,266.0,1002.07,567.57,65.88,971.97,618.80,93.08,12.65,5,1.0
3389.468000,hsv,117,974.36,617.54,269.0,1002.09,568.80,57.94,971.97,618.80,93.08,1.74,5,1.0
3389.515000,hsv,118,987.92,549.57,611.0,1002.06,570.66,29.85,990.00,540.00,0.00,13.18,5,1.0
3389.546000,hsv,119,1010.76,503.28,617.0,1001.99,571.92,68.76,990.00,540.00,0.00,37.60,5,1.0
3389.562000,hsv,120,1027.35,519.48,616.0,1001.95,572.56,53.76,990.69,540.61,0.93,28.97,5,1.0
3389.593000,hsv,121,1035.00,592.39,607.0,1001.83,573.83,23.51,998.98,586.20,49.98,18.35,5,1.0
3389.625000,hsv,122,1019.14,643.19,265.0,1001.68,575.11,68.13,979.56,613.29,83.70,38.85,5,1.0
3389.656000,hsv,123,989.24,642.24,269.0,1001.50,576.40,68.69,968.97,620.60,96.59,25.22,5,1.0
3389.703000,hsv,124,981.23,580.71,626.0,1001.16,578.34,25.35,997.39,590.14,54.22,23.45,5,1.0
3389.734000,hsv,125,976.57,547.79,626.0,1000.89,579.64,42.71,990.00,540.00,0.00,19.22,5,1.0
3389.765000,hsv,126,986.04,563.76,626.0,1000.58,580.95,27.17,1000.95,558.78,22.10,21.99,5,1.0
3389.796000,hsv,127,999.48,634.01,618.5,1000.23,582.26,52.83,976.24,615.88,87.91,22.53,5,1.0
3389.828000,hsv,128,990.22,656.52,270.0,999.85,583.57,74.94,965.84,622.29,100.15,38.14,5,1.0
3389.859000,hsv,129,968.53,621.63,273.0,999.43,584.89,49.41,966.63,621.88,99.25,0.35,5,1.0
3389.890000,hsv,130,954.18,579.85,636.0,998.98,586.20,43.81,984.98,608.27,76.31,40.86,5,1.0
3389.921000,hsv,131,954.41,572.73,636.0,998.49,587.52,45.17,995.47,594.05,58.58,45.03,5,1.0
3389.953000,hsv,132,971.60,614.60,628.0,997.96,588.83,38.99,971.23,619.26,93.95,5.30,5,1.0
3390.000000,hsv,133,976.25,647.53,271.0,997.10,590.80,61.96,961.75,624.23,104.67,25.52,5,1.0
3390.046000,hsv,134,951.13,631.05,274.0,996.15,592.75,57.44,952.15,627.75,114.90,3.51,5,1.0
3390.078000,hsv,135,939.27,600.75,278.0,995.47,594.05,51.46,952.15,627.75,114.90,28.08,5,1.0
3390.109000,hsv,136,939.17,603.60,637.0,994.76,595.34,51.05,951.24,628.02,115.85,25.36,5,1.0
3390.140000,hsv,137,955.22,636.88,275.0,994.00,596.62,55.08,953.06,627.47,113.95,9.99,5,1.0
3390.171000,hsv,138,951.74,656.72,273.0,993.21,597.90,70.80,947.53,628.98,119.68,28.44,5,1.0
3390.203000,hsv,139,934.68,610.58,277.0,992.38,599.17,52.63,944.69,629.60,122.59,19.38,5,1.0
3390.234000,hsv,140,942.18,553.82,644.0,991.96,599.80,64.56,990.00,540.00,0.00,45.51,5,1.0
3390.265000,hsv,141,945.12,551.06,639.0,991.07,601.05,65.44,990.00,540.00,0.00,42.62,5,1.0
3390.296000,hsv,142,959.56,590.00,637.0,990.15,602.29,32.87,978.91,613.82,84.54,30.62,5,1.0
3390.343000,hsv,143,967.62,650.10,275.0,988.70,604.12,51.40,956.62,626.28,110.20,25.50,5,1.0
3390.375000,hsv,144,945.12,640.84,278.0,987.68,605.33,52.63,946.59,629.20,120.65,11.85,5,1.0
