t_sec,method,frame_idx,x_px,y_px,z_mm,dot_x_px,dot_y_px,dot_dist_px,x_spiral_px,y_spiral_px,s_spiral_px,err_px,depth_window,valid_depth_fraction
104704.468000,mp,28,1124.39,723.57,400.0,990.00,540.00,205.91,1125.38,769.71,1168.67,62.45,5,1.0
104704.562000,mp,29,1093.56,719.06,400.0,991.71,541.59,190.22,1110.20,782.80,1188.72,81.03,5,1.0
104704.656000,mp,30,1114.64,707.99,400.0,993.65,543.72,183.75,1131.56,763.81,1160.13,78.77,5,1.0
104704.765000,mp,31,1155.92,711.32,400.0,995.71,546.50,198.84,1147.02,747.31,1137.51,53.86,5,1.0
104704.875000,mp,32,1221.65,726.51,400.0,997.55,549.59,237.67,1160.95,729.78,1115.11,5.73,5,1.0
104704.968000,mp,33,1265.14,732.56,400.0,998.90,552.46,261.76,1168.85,718.36,1101.22,24.53,5,1.0
104705.078000,mp,34,1251.48,722.79,400.0,1000.21,556.06,244.18,1170.36,716.04,1098.46,10.66,5,1.0
104705.140000,mp,35,1229.61,703.00,400.0,1000.82,558.23,216.81,1174.72,709.00,1090.18,13.88,5,1.0
104705.203000,mp,36,1160.25,696.87,400.0,1001.31,560.47,174.53,1157.61,734.25,1120.69,60.39,5,1.0
104705.296000,mp,37,1086.99,666.10,400.0,1001.83,563.95,115.28,987.16,605.92,73.11,90.87,5,1.0
104705.375000,mp,38,1088.75,670.36,400.0,1002.05,566.95,116.89,986.63,606.52,73.90,94.69,5,1.0
104705.437000,mp,39,1045.95,650.35,400.0,1002.09,568.80,84.56,983.84,609.42,77.93,57.66,5,1.0
104705.484000,mp,40,1025.77,646.68,400.0,1002.06,570.66,76.36,980.20,612.75,82.86,44.72,5,1.0
104705.562000,mp,41,1023.02,648.58,400.0,1001.83,573.83,74.95,978.91,613.82,84.54,44.86,5,1.0
104705.625000,mp,42,995.39,638.66,400.0,1001.50,576.40,64.04,972.70,618.33,92.21,24.60,5,1.0
104705.687000,mp,43,967.19,623.15,400.0,1001.03,578.99,56.74,965.03,622.70,101.04,0.57,5,1.0
104705.750000,mp,44,968.55,619.74,400.0,1000.41,581.61,51.08,967.42,621.46,98.36,2.00,5,1.0
104705.812000,mp,45,966.39,611.97,400.0,999.65,584.23,44.55,969.73,620.16,95.71,9.57,5,1.0
104705.890000,mp,46,964.80,590.16,400.0,998.49,587.52,34.99,982.66,610.55,79.56,27.91,5,1.0
104705.984000,mp,47,964.84,591.37,400.0,996.79,591.45,33.16,981.45,611.66,81.21,27.00,5,1.0
104706.093000,mp,48,969.07,577.06,400.0,994.39,595.98,33.45,996.79,591.45,55.66,33.26,5,1.0
104706.187000,mp,49,960.11,702.89,400.0,991.96,599.80,107.91,944.69,629.60,122.59,74.88,5,1.0
104706.281000,mp,50,963.47,605.27,400.0,989.67,602.90,27.18,971.23,619.26,93.95,16.43,5,1.0
104706.390000,mp,51,955.85,610.25,400.0,986.09,607.11,29.37,963.41,623.48,102.85,14.75,5,1.0
104706.484000,mp,52,956.90,624.03,400.0,982.66,610.55,28.39,958.36,625.63,108.34,1.74,5,1.0
104706.578000,mp,53,946.61,632.28,400.0,978.91,613.82,34.34,949.40,628.52,117.76,3.80,5,1.0
