t_sec,method,frame_idx,x_px,y_px,z_mm,dot_x_px,dot_y_px,dot_dist_px,x_spiral_px,y_spiral_px,s_spiral_px,err_px,depth_window,valid_depth_fraction
104815.218000,mp,52,988.75,539.58,400.0,990.00,540.00,8.45,990.00,540.00,0.00,8.45,5,1.0
104815.265000,mp,53,989.82,537.83,400.0,990.69,540.61,8.78,990.00,540.00,0.00,7.94,5,1.0
104815.296000,mp,54,989.79,535.48,400.0,991.37,541.26,10.72,990.00,540.00,0.00,8.89,5,1.0
104815.343000,mp,55,1024.62,646.92,400.0,992.37,542.27,105.89,980.20,612.75,82.86,44.35,5,1.0
104815.390000,mp,56,1020.83,643.97,400.0,993.33,543.34,101.37,979.56,613.29,83.70,40.26,5,1.0
104815.453000,mp,57,1011.66,586.27,400.0,994.56,544.87,41.61,998.98,586.20,49.98,0.24,5,1.0
104815.531000,mp,58,1003.66,549.79,400.0,995.99,546.92,4.33,996.26,547.35,9.69,4.28,5,1.0
104815.562000,mp,59,997.21,547.72,400.0,996.53,547.79,8.62,993.02,542.98,4.24,6.96,5,1.0
104815.609000,mp,60,998.27,544.91,400.0,997.30,549.13,9.58,992.04,541.92,2.81,4.48,5,1.0
104815.671000,mp,61,1023.01,577.55,400.0,998.25,551.00,28.03,1001.50,576.40,39.84,5.87,5,1.0
104815.703000,mp,62,1025.16,578.60,400.0,998.69,551.97,28.51,1001.39,577.04,40.49,7.64,5,1.0
104815.750000,mp,63,1012.49,565.40,400.0,999.31,553.46,11.94,1001.94,565.14,28.55,2.59,5,1.0
104815.828000,mp,64,1003.96,544.74,400.0,1000.21,556.06,13.44,993.95,544.09,5.70,1.18,5,1.0
104815.890000,mp,65,1003.92,540.26,400.0,1000.82,558.23,19.61,991.71,541.59,2.33,1.80,5,1.0
104815.937000,mp,66,1025.21,563.84,400.0,1001.20,559.90,8.66,1001.89,564.54,27.95,7.06,5,1.0
104816.015000,mp,67,1036.37,601.78,400.0,1001.69,562.77,42.00,996.48,592.10,56.39,22.94,5,1.0
104816.078000,mp,68,1036.08,600.64,400.0,1001.94,565.14,38.58,996.79,591.45,55.66,22.25,5,1.0
104816.125000,mp,69,1026.61,569.98,400.0,1002.05,566.95,8.46,1002.08,570.04,33.45,7.88,5,1.0
104816.234000,mp,70,1043.73,626.92,400.0,1002.06,570.66,59.96,990.15,602.29,68.40,40.90,5,1.0
104816.265000,mp,71,1046.46,631.79,400.0,1001.99,571.92,64.08,989.19,603.51,69.95,45.51,5,1.0
104816.312000,mp,72,1048.57,632.63,400.0,1001.83,573.83,63.74,989.19,603.51,69.95,47.27,5,1.0
104816.359000,mp,73,1036.45,633.65,400.0,1001.60,575.75,60.00,986.63,606.52,73.90,40.98,5,1.0
104816.390000,mp,74,1036.51,635.69,400.0,1001.39,577.04,60.79,986.09,607.11,74.70,42.38,5,1.0
104816.437000,mp,75,1024.86,591.56,400.0,1001.03,578.99,14.70,998.49,587.52,51.38,10.93,5,1.0
104816.515000,mp,76,1041.70,653.07,400.0,1000.23,582.26,73.87,982.06,611.11,80.38,57.43,5,1.0
104816.546000,mp,77,1044.61,658.83,400.0,999.85,583.57,78.87,981.45,611.66,81.21,63.17,5,1.0
104816.609000,mp,78,1044.68,659.98,400.0,998.98,586.20,77.75,981.45,611.66,81.21,64.06,5,1.0
104816.671000,mp,79,1000.10,586.08,400.0,997.96,588.83,8.35,997.68,589.49,53.51,8.33,5,1.0
104816.718000,mp,80,992.53,591.25,400.0,997.10,590.80,12.71,993.61,597.26,62.29,11.00,5,1.0
104816.765000,mp,81,991.47,589.71,400.0,996.15,592.75,12.91,994.39,595.98,60.80,12.47,5,1.0
104816.812000,mp,82,985.51,602.35,400.0,995.12,594.70,17.72,984.98,608.27,76.31,8.33,5,1.0
104816.859000,mp,83,986.19,607.11,400.0,994.00,596.62,17.78,982.66,610.55,79.56,4.58,5,1.0
104816.890000,mp,84,986.87,606.29,400.0,993.21,597.90,15.52,983.26,609.99,78.74,4.83,5,1.0
104816.937000,mp,85,970.70,574.81,400.0,991.96,599.80,34.60,999.21,585.55,49.28,32.98,5,1.0
104816.968000,mp,86,969.28,572.07,400.0,991.52,600.42,37.51,1000.89,579.64,43.14,34.76,5,1.0
104817.015000,mp,87,969.99,571.21,400.0,990.15,602.29,38.46,1001.39,577.04,40.49,34.40,5,1.0
104817.046000,mp,88,981.54,635.74,400.0,989.19,603.51,34.76,968.20,621.04,97.47,16.72,5,1.0
104817.093000,mp,89,984.40,640.44,400.0,987.68,605.33,36.34,967.42,621.46,98.36,21.88,5,1.0
104817.125000,mp,90,961.29,605.35,400.0,986.63,606.52,25.69,969.73,620.16,95.71,17.21,5,1.0
104817.218000,mp,91,951.99,595.00,400.0,983.26,609.99,32.88,968.20,621.04,97.47,29.66,5,1.0
104817.250000,mp,92,953.24,594.86,400.0,982.06,611.11,31.63,969.73,620.16,95.71,29.32,5,1.0
104817.296000,mp,93,952.60,592.52,400.0,980.20,612.75,32.74,971.23,619.26,93.95,31.57,5,1.0
104817.328000,mp,94,962.74,658.31,400.0,978.91,613.82,47.58,953.06,627.47,113.95,32.12,5,1.0
104817.359000,mp,95,964.24,663.36,400.0,977.59,614.86,50.60,952.15,627.75,114.90,37.28,5,1.0
104817.406000,mp,96,964.51,663.69,400.0,975.55,616.38,48.84,952.15,627.75,114.90,37.65,5,1.0
104817.437000,mp,97,954.34,619.64,400.0,974.14,617.37,18.53,958.36,625.63,108.34,6.53,5,1.0
104817.484000,mp,98,954.82,618.64,400.0,971.97,618.80,15.86,959.21,625.30,107.42,7.34,5,1.0
104817.531000,mp,99,952.11,628.62,400.0,969.73,620.16,17.78,953.96,627.19,113.01,1.43,5,1.0
104817.609000,mp,100,949.88,624.88,400.0,965.84,622.29,13.67,953.06,627.47,113.95,2.67,5,1.0
104817.656000,mp,101,949.48,625.59,400.0,963.41,623.48,11.50,953.06,627.47,113.95,2.11,5,1.0
104817.687000,mp,102,950.13,627.17,400.0,961.75,624.23,9.61,953.06,627.47,113.95,0.55,5,1.0
104817.734000,mp,103,937.09,607.52,400.0,959.21,625.30,24.19,947.53,628.98,119.68,21.98,5,1.0
104817.765000,mp,104,937.91,603.27,400.0,957.49,625.96,26.70,950.32,628.27,116.80,25.93,5,1.0
104817.812000,mp,105,937.62,603.63,400.0,954.85,626.90,26.02,949.40,628.52,117.76,25.65,5,1.0
104817.843000,mp,106,939.87,666.37,400.0,953.96,627.19,40.21,939.85,630.43,127.50,36.29,5,1.0
104817.890000,mp,107,939.94,671.79,400.0,951.24,628.02,44.23,938.87,630.57,128.49,41.67,5,1.0
104817.953000,mp,108,922.54,625.21,400.0,947.53,628.98,16.08,931.87,631.21,135.53,6.00,5,1.0
104818.015000,mp,109,916.14,627.20,400.0,943.74,629.79,16.83,926.74,631.33,140.65,4.15,5,1.0
104818.062000,mp,110,917.42,629.18,400.0,940.83,630.29,12.82,927.77,631.33,139.62,2.17,5,1.0
104818.109000,mp,111,917.06,629.07,400.0,937.88,630.69,10.22,927.77,631.33,139.62,2.26,5,1.0
104818.140000,mp,112,907.14,652.38,400.0,935.89,630.91,26.51,921.54,631.17,145.86,21.24,5,1.0
104818.187000,mp,113,909.32,652.96,400.0,932.88,631.15,24.38,922.59,631.23,144.81,21.74,5,1.0
104818.234000,mp,114,900.96,615.83,400.0,929.83,631.29,20.94,914.15,630.44,153.28,14.70,5,1.0
104818.328000,mp,115,898.62,662.85,400.0,923.63,631.27,33.03,917.33,630.83,150.08,32.20,5,1.0
104818.375000,mp,116,905.72,667.19,400.0,920.49,631.10,36.10,921.54,631.17,145.86,36.09,5,1.0
104818.421000,mp,117,902.92,672.40,400.0,917.33,630.83,41.58,920.49,631.10,146.91,41.43,5,1.0
104818.453000,mp,118,877.72,601.22,400.0,915.21,630.58,33.89,888.49,623.33,179.99,24.18,5,1.0
104818.515000,mp,119,877.64,588.42,400.0,910.95,629.95,43.43,882.17,620.40,186.96,35.79,5,1.0
104818.578000,mp,120,866.34,583.42,400.0,906.68,629.12,48.73,869.84,613.15,201.27,35.78,5,1.0
104818.640000,mp,121,866.60,649.73,400.0,902.39,628.08,24.97,897.03,626.51,170.87,24.28,5,1.0
104818.671000,mp,122,859.86,664.12,400.0,900.25,627.49,39.71,897.03,626.51,170.87,39.52,5,1.0
104818.718000,mp,123,852.33,595.61,400.0,898.10,626.85,36.49,867.84,611.76,203.70,19.77,5,1.0
104818.828000,mp,124,849.64,581.29,400.0,890.62,624.20,44.95,857.24,603.23,217.32,29.68,5,1.0
104818.890000,mp,125,850.55,585.29,400.0,886.38,622.40,38.06,860.06,605.70,213.56,27.11,5,1.0
104818.937000,mp,126,848.47,626.70,400.0,883.22,620.92,8.97,880.08,619.32,189.31,8.27,5,1.0
104819.031000,mp,127,820.06,561.86,400.0,876.97,617.60,59.89,833.65,573.83,255.16,24.51,5,1.0
104819.078000,mp,128,821.73,551.27,400.0,873.89,615.77,66.86,828.60,564.13,266.10,30.54,5,1.0
104819.125000,mp,129,820.57,553.09,400.0,870.85,613.82,62.66,829.19,565.37,264.73,28.97,5,1.0
104819.156000,mp,130,802.39,568.75,400.0,868.84,612.46,51.40,833.65,573.83,255.16,9.59,5,1.0
104819.218000,mp,131,791.67,583.45,400.0,864.88,609.58,40.65,837.90,580.68,247.10,4.99,5,1.0
104819.265000,mp,132,788.74,581.01,400.0,861.97,607.29,40.20,836.44,578.44,249.78,5.52,5,1.0
104819.328000,mp,133,789.20,527.55,400.0,858.18,604.06,80.90,817.98,530.27,301.69,14.18,5,1.0
104819.375000,mp,134,790.95,528.25,400.0,855.40,601.51,76.55,817.98,530.27,301.69,15.36,5,1.0
104819.421000,mp,135,791.46,528.61,400.0,852.68,598.85,72.79,818.24,531.71,300.23,15.67,5,1.0
104819.453000,mp,136,803.74,563.05,400.0,850.90,597.02,34.92,831.03,569.06,260.61,13.21,5,1.0
104819.500000,mp,137,805.79,561.43,400.0,848.30,594.18,32.99,830.41,567.84,261.98,15.34,5,1.0
104819.546000,mp,138,798.58,515.79,400.0,845.76,591.23,75.75,816.32,517.05,315.02,22.64,5,1.0
104819.625000,mp,139,799.39,541.09,400.0,842.51,587.15,46.15,822.03,547.12,284.35,18.52,5,1.0
104819.671000,mp,140,797.97,536.12,400.0,840.16,583.96,47.87,820.10,540.22,291.51,18.83,5,1.0
104819.718000,mp,141,797.10,534.52,400.0,837.90,580.68,46.16,819.75,538.82,292.96,18.57,5,1.0
104819.765000,mp,142,820.31,571.99,400.0,835.73,577.30,20.22,839.40,582.88,244.44,19.22,5,1.0
104819.796000,mp,143,814.48,569.98,400.0,834.33,575.00,17.27,837.16,579.56,248.44,16.72,5,1.0
104819.843000,mp,144,824.04,529.49,400.0,832.32,571.46,49.22,819.75,538.82,292.96,39.40,5,1.0
104819.937000,mp,145,840.02,589.36,400.0,828.60,564.13,48.50,857.24,603.23,217.32,18.85,5,1.0
104819.984000,mp,146,843.79,588.00,400.0,826.89,560.33,53.63,858.18,604.06,216.06,21.75,5,1.0
104820.046000,mp,147,823.40,525.60,400.0,824.80,555.15,44.11,818.52,533.15,298.77,39.76,5,1.0
104820.140000,mp,148,821.65,524.66,400.0,822.03,547.12,40.92,818.24,531.71,300.23,38.64,5,1.0
104820.187000,mp,149,825.35,522.47,400.0,820.83,543.01,43.35,817.74,528.82,303.16,41.76,5,1.0
104820.234000,mp,150,824.24,535.88,400.0,819.75,538.82,38.54,822.03,547.12,284.35,37.86,5,1.0
104820.343000,mp,151,811.67,492.15,400.0,817.74,528.82,48.03,816.99,488.06,344.07,32.02,5,1.0
104820.390000,mp,152,809.34,488.06,400.0,817.09,524.45,47.10,817.64,483.40,348.77,29.73,5,1.0
104820.421000,mp,153,825.96,513.11,400.0,816.74,521.50,43.55,816.21,515.55,316.52,43.33,5,1.0
104820.546000,mp,154,818.88,494.05,400.0,815.98,511.04,41.79,816.81,489.60,342.51,37.62,5,1.0
104820.625000,mp,155,815.83,490.40,400.0,815.91,503.45,38.26,817.41,484.95,347.20,34.89,5,1.0
104820.656000,mp,156,824.06,479.91,400.0,816.00,500.39,46.77,820.11,470.97,361.45,38.98,5,1.0
104820.734000,mp,157,851.80,480.06,400.0,816.49,492.70,63.62,822.20,463.21,369.49,59.10,5,1.0
104820.796000,mp,158,856.63,483.12,400.0,817.19,486.51,65.37,821.31,466.31,366.26,63.43,5,1.0
104820.843000,mp,159,845.74,420.16,400.0,817.89,481.85,83.59,855.52,403.24,438.61,25.28,5,1.0
104820.953000,mp,160,854.69,445.48,400.0,820.11,470.97,66.03,842.83,419.74,417.78,46.05,5,1.0
104821.015000,mp,161,854.99,445.81,400.0,821.75,464.76,62.44,842.83,419.74,417.78,46.42,5,1.0
104821.078000,mp,162,846.13,391.50,400.0,823.67,458.57,84.22,870.51,388.10,459.93,5.31,5,1.0
104821.125000,mp,163,846.54,386.89,400.0,825.28,453.95,83.42,873.22,385.73,463.54,2.04,5,1.0
