t_sec,method,frame_idx,x_px,y_px,z_mm,dot_x_px,dot_y_px,dot_dist_px,x_spiral_px,y_spiral_px,s_spiral_px,err_px,depth_window,valid_depth_fraction
104864.859000,mp,55,1337.94,619.49,400.0,992.04,541.92,263.11,1209.33,613.54,988.00,34.64,5,1.0
104864.921000,mp,56,1332.67,628.44,400.0,993.33,543.34,260.46,1208.01,621.31,995.88,32.29,5,1.0
104864.968000,mp,57,1335.93,627.84,400.0,994.26,544.48,261.34,1208.01,621.31,995.88,34.56,5,1.0
104865.015000,mp,58,1439.05,648.20,400.0,995.15,545.67,339.97,1207.00,626.49,1001.16,114.37,5,1.0
104865.078000,mp,59,1561.81,693.04,400.0,996.26,547.35,439.92,1429.95,541.71,3188.03,152.47,5,1.0
104865.109000,mp,60,1560.96,696.99,400.0,996.79,548.23,439.85,1429.95,541.71,3188.03,156.47,5,1.0
104865.171000,mp,61,1637.79,725.47,400.0,997.79,550.05,502.19,1429.95,541.71,3188.03,187.74,5,1.0
104865.218000,mp,62,1631.38,727.87,400.0,998.47,551.48,497.39,1429.95,541.71,3188.03,189.17,5,1.0
104865.265000,mp,63,1646.48,700.18,400.0,999.11,552.96,498.01,1429.95,541.71,3188.03,164.72,5,1.0
104865.375000,mp,64,1590.49,638.61,400.0,1000.37,556.60,440.20,1429.95,541.71,3188.03,96.95,5,1.0
104865.421000,mp,65,1591.19,636.29,400.0,1000.82,558.23,439.57,1429.95,541.71,3188.03,94.65,5,1.0
104865.453000,mp,66,1584.01,637.40,400.0,1001.08,559.34,434.01,1429.95,541.71,3188.03,95.72,5,1.0
104865.500000,mp,67,1524.17,628.00,400.0,1001.41,561.04,387.55,1429.95,541.71,3188.03,98.18,5,1.0
104865.562000,mp,68,1519.08,624.94,400.0,1001.76,563.36,382.53,1429.95,541.71,3188.03,97.43,5,1.0
104865.593000,mp,69,1441.25,609.28,400.0,1001.83,563.95,322.31,1211.25,597.98,972.32,110.27,5,1.0
104865.656000,mp,70,1363.97,602.28,400.0,1002.02,566.35,263.41,1211.25,597.98,972.32,51.91,5,1.0
104865.703000,mp,71,1363.09,597.42,400.0,1002.09,568.18,261.87,1211.67,592.80,967.13,50.86,5,1.0
104865.750000,mp,72,1363.62,597.44,400.0,1002.08,570.04,262.07,1211.67,592.80,967.13,51.25,5,1.0
104865.781000,mp,73,1297.81,599.18,400.0,1002.03,571.29,213.16,1211.25,597.98,972.32,2.43,5,1.0
104865.828000,mp,74,1295.36,594.49,400.0,1001.90,573.19,210.71,1211.47,595.39,969.72,0.90,5,1.0
104865.859000,mp,75,1296.40,592.40,400.0,1001.76,574.47,211.30,1211.67,592.80,967.13,0.75,5,1.0
104865.906000,mp,76,1227.98,625.02,400.0,1001.50,576.40,166.73,1204.64,636.81,1011.75,45.22,5,1.0
104865.953000,mp,77,1225.28,629.52,400.0,1001.16,578.34,165.89,1203.30,641.95,1017.06,46.06,5,1.0
104866.000000,mp,78,1169.90,635.43,400.0,1000.74,580.30,129.06,1195.94,664.88,1041.15,83.86,5,1.0
104866.062000,mp,79,1134.47,624.91,400.0,1000.05,582.92,100.05,998.23,588.17,52.09,99.64,5,1.0
104866.109000,mp,80,1135.16,629.03,400.0,999.43,584.89,101.98,997.68,589.49,53.51,101.69,5,1.0
104866.156000,mp,81,1137.09,628.93,400.0,998.74,586.86,103.06,997.96,588.83,52.80,102.99,5,1.0
104866.187000,mp,82,1100.99,620.21,400.0,998.23,588.17,74.73,997.39,590.14,54.22,74.67,5,1.0
104866.234000,mp,83,1103.74,626.19,400.0,997.39,590.14,79.10,996.79,591.45,55.66,79.06,5,1.0
104866.281000,mp,84,1073.82,625.58,400.0,996.48,592.10,59.25,994.39,595.98,60.80,58.95,5,1.0
104866.375000,mp,85,1048.20,631.34,400.0,994.39,595.98,47.54,989.67,602.90,69.17,46.26,5,1.0
104866.437000,mp,86,1044.21,629.77,400.0,992.80,598.54,43.55,989.67,602.90,69.17,42.93,5,1.0
104866.484000,mp,87,1025.76,614.88,400.0,991.96,599.80,23.00,991.07,601.05,66.85,22.90,5,1.0
104866.578000,mp,88,1012.34,610.11,400.0,989.19,603.51,12.03,989.67,602.90,69.17,11.99,5,1.0
104866.625000,mp,89,1010.61,613.22,400.0,987.68,605.33,12.96,988.19,604.73,71.52,12.94,5,1.0
104866.687000,mp,90,999.88,616.83,400.0,985.54,607.69,10.12,983.26,609.99,78.74,9.54,5,1.0
104866.765000,mp,91,971.32,620.69,400.0,982.66,610.55,17.43,968.20,621.04,97.47,0.45,5,1.0
104866.812000,mp,92,970.16,620.62,400.0,980.83,612.21,15.66,968.20,621.04,97.47,0.71,5,1.0
