t_sec,method,frame_idx,x_px,y_px,z_mm,dot_x_px,dot_y_px,dot_dist_px,x_spiral_px,y_spiral_px,s_spiral_px,err_px,depth_window,valid_depth_fraction
104764.312000,mp,62,1034.16,538.54,400.0,990.00,540.00,25.66,997.05,548.67,11.23,21.15,5,1.0
104764.343000,mp,63,1025.96,536.51,400.0,990.35,540.30,19.50,995.43,546.08,8.18,16.99,5,1.0
104764.406000,mp,64,1016.23,539.55,400.0,991.71,541.59,10.66,994.85,545.27,7.18,9.28,5,1.0
104764.468000,mp,65,1016.50,542.44,400.0,993.02,542.98,9.38,995.99,546.92,9.19,7.80,5,1.0
104764.500000,mp,66,1013.63,542.44,400.0,993.65,543.72,6.70,995.43,546.08,8.18,6.02,5,1.0
104764.546000,mp,67,1014.25,540.85,400.0,994.56,544.87,7.33,994.85,545.27,7.18,7.32,5,1.0
104764.609000,mp,68,1014.79,546.15,400.0,995.71,546.50,5.39,997.05,548.67,11.23,4.77,5,1.0
104764.640000,mp,69,1010.89,592.64,400.0,996.26,547.35,45.33,996.48,592.10,56.39,1.78,5,1.0
104764.703000,mp,70,989.41,571.03,400.0,997.30,549.13,26.68,1001.95,572.56,35.97,19.95,5,1.0
104764.765000,mp,71,982.81,565.98,400.0,998.25,551.00,25.91,1001.60,562.19,25.57,24.78,5,1.0
104764.796000,mp,72,985.58,565.81,400.0,998.69,551.97,23.92,1001.69,562.77,26.16,22.70,5,1.0
104764.843000,mp,73,979.81,563.69,400.0,999.31,553.46,26.50,1000.04,555.53,18.73,26.48,5,1.0
104764.875000,mp,74,981.53,558.96,400.0,999.69,554.49,23.96,994.85,545.27,7.18,23.18,5,1.0
104764.906000,mp,75,982.87,560.49,400.0,1000.04,555.53,23.42,997.79,550.05,12.80,23.12,5,1.0
104764.953000,mp,76,996.03,600.33,400.0,1000.53,557.13,45.26,990.15,602.29,68.40,3.69,5,1.0
104765.000000,mp,77,992.66,591.98,400.0,1000.95,558.78,37.05,993.61,597.26,62.29,10.54,5,1.0
104765.031000,mp,78,1011.79,562.90,400.0,1001.20,559.90,3.82,1001.69,562.77,26.16,2.85,5,1.0
104765.109000,mp,79,1077.31,781.17,400.0,1001.69,562.77,223.25,1064.00,813.01,1244.00,35.64,5,1.0
104765.140000,mp,80,1074.42,743.24,400.0,1001.83,563.95,184.61,1081.82,802.84,1223.49,69.63,5,1.0
104765.187000,mp,81,1076.65,734.97,400.0,1001.94,565.14,175.83,1089.17,798.13,1214.75,75.68,5,1.0
104765.234000,mp,82,1012.66,567.29,400.0,1002.05,566.95,2.58,1002.05,566.95,30.36,2.58,5,1.0
104765.265000,mp,83,1011.26,569.15,400.0,1002.09,568.18,3.77,1002.09,569.42,32.83,3.65,5,1.0
104765.312000,mp,84,1009.86,566.08,400.0,1002.08,570.04,6.13,1001.99,565.74,29.15,4.60,5,1.0
104765.343000,mp,85,1023.14,568.51,400.0,1002.03,571.29,6.01,1002.09,568.80,32.21,5.27,5,1.0
104765.390000,mp,86,1023.03,569.88,400.0,1001.90,573.19,6.32,1002.08,570.04,33.45,5.20,5,1.0
104765.437000,mp,87,1048.70,626.07,400.0,1001.68,575.11,56.69,991.07,601.05,66.85,43.40,5,1.0
104765.500000,mp,88,1019.24,576.20,400.0,1001.28,577.69,3.49,1001.60,575.75,39.19,2.87,5,1.0
104765.546000,mp,89,1019.04,574.77,400.0,1000.89,579.64,5.94,1001.76,574.47,37.89,2.53,5,1.0
104765.593000,mp,90,1017.58,575.44,400.0,1000.41,581.61,6.77,1001.68,575.11,38.54,1.53,5,1.0
104765.625000,mp,91,1027.19,582.94,400.0,1000.05,582.92,10.35,1000.74,580.30,43.81,10.01,5,1.0
104765.671000,mp,92,1027.03,576.47,400.0,999.43,584.89,13.72,1001.68,575.11,38.54,8.69,5,1.0
104765.734000,mp,93,1015.39,600.59,400.0,998.49,587.52,13.42,994.39,595.98,60.80,8.51,5,1.0
104765.812000,mp,94,1004.30,597.47,400.0,997.10,590.80,7.72,993.21,597.90,63.04,0.43,5,1.0
104765.859000,mp,95,999.57,598.72,400.0,996.15,592.75,8.81,991.52,600.42,66.08,2.51,5,1.0
104765.890000,mp,96,998.62,598.18,400.0,995.47,594.05,7.71,991.52,600.42,66.08,3.40,5,1.0
104765.937000,mp,97,994.73,650.98,400.0,994.39,595.98,55.62,968.97,620.60,96.59,34.85,5,1.0
104765.968000,mp,98,993.80,649.08,400.0,993.61,597.26,52.47,968.97,620.60,96.59,32.85,5,1.0
104766.000000,mp,99,993.35,648.28,400.0,992.80,598.54,50.35,968.97,620.60,96.59,32.00,5,1.0
104766.046000,mp,100,963.81,600.96,400.0,991.96,599.80,29.12,974.14,617.37,90.48,19.92,5,1.0
104766.078000,mp,101,965.55,602.54,400.0,991.07,601.05,26.95,974.14,617.37,90.48,17.88,5,1.0
104766.125000,mp,102,997.74,706.74,400.0,989.67,602.90,103.85,957.49,625.96,109.27,86.46,5,1.0
104766.203000,mp,103,950.90,622.46,400.0,987.16,605.92,37.79,954.85,626.90,112.07,4.74,5,1.0
104766.250000,mp,104,953.89,623.60,400.0,985.54,607.69,34.07,956.62,626.28,110.20,2.94,5,1.0
104766.281000,mp,105,953.65,623.48,400.0,984.42,608.85,32.64,956.62,626.28,110.20,3.12,5,1.0
104766.328000,mp,106,968.47,708.18,400.0,982.66,610.55,98.98,947.53,628.98,119.68,81.40,5,1.0
104766.359000,mp,107,962.89,685.28,400.0,981.45,611.66,76.10,948.47,628.75,118.72,58.16,5,1.0
104766.406000,mp,108,965.45,695.36,400.0,979.56,613.29,83.52,947.53,628.98,119.68,68.41,5,1.0
104766.453000,mp,109,934.38,622.34,400.0,977.59,614.86,37.56,941.80,630.13,125.52,7.86,5,1.0
104766.515000,mp,110,937.54,622.41,400.0,974.85,616.88,32.18,944.69,629.60,122.59,7.35,5,1.0
104766.578000,mp,111,974.15,736.58,400.0,971.97,618.80,117.79,994.22,838.95,1318.65,105.06,5,1.0
104766.609000,mp,112,926.30,623.52,400.0,970.49,619.71,35.96,935.89,630.91,131.49,7.48,5,1.0
104766.671000,mp,113,930.73,625.92,400.0,967.42,621.46,29.71,938.87,630.57,128.49,4.72,5,1.0
104766.734000,mp,114,922.60,624.45,400.0,964.22,623.09,32.30,931.87,631.21,135.53,6.76,5,1.0
104766.828000,mp,115,886.22,597.01,400.0,959.21,625.30,61.45,894.89,625.79,173.13,30.40,5,1.0
104766.875000,mp,116,891.51,596.52,400.0,956.62,626.28,56.46,899.17,627.18,168.63,32.08,5,1.0
104766.906000,mp,117,891.37,596.86,400.0,954.85,626.90,55.21,899.17,627.18,168.63,31.72,5,1.0
104766.953000,mp,118,885.14,594.10,400.0,953.06,627.47,59.45,891.69,624.62,176.54,32.85,5,1.0
104767.000000,mp,119,887.72,591.36,400.0,950.32,628.27,57.84,893.82,625.41,174.26,36.10,5,1.0
104767.031000,mp,120,870.85,628.17,400.0,948.47,628.75,55.33,893.82,625.41,174.26,2.84,5,1.0
104767.109000,mp,121,850.63,601.83,400.0,943.74,629.79,71.46,869.84,613.15,201.27,13.93,5,1.0
104767.171000,mp,122,850.42,604.80,400.0,939.85,630.43,67.12,871.86,614.48,198.85,11.37,5,1.0
104767.234000,mp,123,836.98,662.32,400.0,935.89,630.91,75.05,886.38,622.40,182.30,44.06,5,1.0
104767.328000,mp,124,822.22,599.79,400.0,929.83,631.29,79.66,855.40,601.51,219.84,2.14,5,1.0
104767.375000,mp,125,821.31,604.57,400.0,926.74,631.33,75.65,857.24,603.23,217.32,1.84,5,1.0
104767.406000,mp,126,820.69,603.40,400.0,924.67,631.30,74.57,856.32,602.38,218.58,1.29,5,1.0
104767.453000,mp,127,836.22,644.26,400.0,921.54,631.17,55.93,880.08,619.32,189.31,28.09,5,1.0
104767.500000,mp,128,827.63,644.98,400.0,918.39,630.93,59.35,876.97,617.60,192.86,31.84,5,1.0
104767.531000,mp,129,804.84,584.85,400.0,916.27,630.71,85.90,841.71,586.10,240.47,2.28,5,1.0
104767.625000,mp,130,823.62,585.95,400.0,909.89,629.76,68.12,848.30,594.18,230.05,12.51,5,1.0
104767.687000,mp,131,818.45,584.28,400.0,905.61,628.88,68.33,845.76,591.23,233.93,10.65,5,1.0
104767.750000,mp,132,846.87,636.03,400.0,901.32,627.79,27.43,883.22,620.92,185.79,17.13,5,1.0
104767.812000,mp,133,836.02,606.30,400.0,898.10,626.85,37.26,864.88,609.58,207.37,3.91,5,1.0
104767.875000,mp,134,833.00,606.70,400.0,893.82,625.41,34.57,862.94,608.07,209.84,2.27,5,1.0
104767.937000,mp,135,874.76,730.71,400.0,889.56,623.77,107.14,912.02,630.12,155.44,101.84,5,1.0
104768.031000,mp,136,847.08,590.95,400.0,883.22,620.92,31.00,861.97,607.29,211.08,21.10,5,1.0
104768.078000,mp,137,844.12,588.49,400.0,880.08,619.32,31.61,859.12,604.89,214.81,21.55,5,1.0
104768.125000,mp,138,845.08,589.62,400.0,876.97,617.60,28.16,860.06,605.70,213.56,21.16,5,1.0
104768.171000,mp,139,849.70,606.31,400.0,873.89,615.77,10.04,871.86,614.48,198.85,9.81,5,1.0
104768.218000,mp,140,850.86,602.19,400.0,870.85,613.82,13.73,870.85,613.82,200.06,13.73,5,1.0
