t_sec,method,frame_idx,x_px,y_px,z_mm,dot_x_px,dot_y_px,dot_dist_px,x_spiral_px,y_spiral_px,s_spiral_px,err_px,depth_window,valid_depth_fraction
255952.078000,hsv,89,1037.90,501.29,381.0,990.00,540.00,48.03,990.00,540.00,0.00,48.03,5,1.0
255952.109000,hsv,90,1017.59,467.87,381.0,990.35,540.30,73.56,990.00,540.00,0.00,73.33,5,1.0
255952.140000,hsv,91,1009.84,487.57,399.0,991.04,540.93,53.74,990.00,540.00,0.00,52.95,5,1.0
255952.171000,hsv,92,1009.18,553.10,396.0,991.71,541.59,12.62,998.90,552.46,15.45,2.12,5,1.0
255952.203000,hsv,93,1008.45,575.88,387.0,992.37,542.27,33.84,1001.50,576.40,39.84,5.18,5,1.0
255952.234000,hsv,94,1004.44,523.02,390.0,993.02,542.98,19.96,990.00,540.00,0.00,17.30,5,1.0
255952.265000,hsv,95,997.80,462.96,380.0,993.65,543.72,80.93,990.00,540.00,0.00,77.05,5,1.0
255952.296000,hsv,96,1006.61,454.69,397.0,994.26,544.48,89.79,990.00,540.00,0.00,85.45,5,1.0
255952.328000,hsv,97,1022.99,522.19,403.0,994.85,545.27,26.19,990.69,540.61,0.93,24.76,5,1.0
255952.375000,hsv,98,1022.10,594.83,391.0,995.71,546.50,49.54,997.10,590.80,54.94,10.30,5,1.0
255952.406000,hsv,99,1015.66,573.26,396.0,996.26,547.35,26.48,1001.90,573.19,36.61,0.16,5,1.0
255952.437000,hsv,100,1014.94,506.26,388.0,996.79,548.23,42.20,990.00,540.00,0.00,35.55,5,1.0
255952.468000,hsv,101,1012.87,481.97,398.0,997.30,549.13,67.20,990.00,540.00,0.00,58.83,5,1.0
255952.500000,hsv,102,1018.49,529.17,402.0,997.79,550.05,21.75,991.71,541.59,2.33,17.38,5,1.0
255952.531000,hsv,103,1019.89,574.81,393.0,998.25,551.00,24.73,1001.76,574.47,37.89,3.17,5,1.0
255952.562000,hsv,104,1038.85,561.17,398.0,998.69,551.97,22.42,1001.76,563.36,26.75,17.51,5,1.0
255952.593000,hsv,105,1027.06,483.84,389.0,999.11,552.96,70.01,990.00,540.00,0.00,59.71,5,1.0
255952.640000,hsv,106,1026.13,468.14,404.0,999.69,554.49,86.91,990.00,540.00,0.00,74.48,5,1.0
255952.671000,hsv,107,1029.56,539.50,400.0,1000.04,555.53,20.10,996.79,548.23,10.72,17.68,5,1.0
255952.703000,hsv,108,1035.97,606.68,393.0,1000.37,556.60,52.76,995.12,594.70,59.32,24.93,5,1.0
255952.734000,hsv,109,1039.95,571.18,394.0,1000.67,557.68,23.55,1002.06,570.66,34.07,17.91,5,1.0
255952.765000,hsv,110,1027.44,516.63,389.0,1000.95,558.78,43.24,990.00,540.00,0.00,31.14,5,1.0
255952.796000,hsv,111,1026.67,540.83,401.0,1001.20,559.90,21.00,996.79,548.23,10.72,15.14,5,1.0
255952.843000,hsv,112,1027.25,612.10,402.0,1001.51,561.61,51.27,991.96,599.80,65.32,22.20,5,1.0
255952.859000,hsv,113,1022.80,617.66,397.0,1001.60,562.19,55.74,989.19,603.51,69.95,22.82,5,1.0
255952.921000,hsv,114,1022.26,544.97,396.0,1001.83,563.95,19.60,997.55,549.59,12.27,10.25,5,1.0
255952.953000,hsv,115,1012.41,496.20,396.0,1001.94,565.14,68.99,990.00,540.00,0.00,44.78,5,1.0
255953.000000,hsv,116,1018.08,541.98,407.0,1002.05,566.95,25.02,995.99,546.92,9.19,9.04,5,1.0
255953.031000,hsv,117,1025.74,614.90,400.0,1002.09,568.18,47.27,991.07,601.05,66.85,22.90,5,1.0
255953.062000,hsv,118,1031.84,602.27,414.0,1002.09,569.42,34.90,996.15,592.75,57.11,20.12,5,1.0
255953.093000,hsv,119,1024.59,516.54,390.0,1002.06,570.66,54.50,990.00,540.00,0.00,29.84,5,1.0
255953.125000,hsv,120,1013.38,510.48,405.0,1001.99,571.92,61.47,990.00,540.00,0.00,31.18,5,1.0
255953.156000,hsv,121,1017.83,594.70,407.0,1001.90,573.19,21.56,996.79,591.45,55.66,7.34,5,1.0
255953.187000,hsv,122,1017.40,653.11,400.0,1001.76,574.47,78.65,976.24,615.88,87.91,45.88,5,1.0
255953.234000,hsv,123,1011.73,607.33,400.0,1001.50,576.40,31.05,990.61,601.67,67.62,9.95,5,1.0
255953.265000,hsv,124,986.76,540.99,392.0,1001.28,577.69,42.39,990.00,540.00,0.00,9.98,5,1.0
255953.296000,hsv,125,973.73,547.70,408.0,1001.03,578.99,43.86,990.00,540.00,0.00,21.15,5,1.0
255953.328000,hsv,126,980.14,614.87,411.0,1000.74,580.30,43.04,976.24,615.88,87.91,1.52,5,1.0
255953.343000,hsv,127,990.99,632.32,390.0,1000.58,580.95,54.21,973.43,617.85,91.35,17.48,5,1.0
255953.390000,hsv,128,984.89,555.18,406.0,1000.05,582.92,35.02,992.37,542.27,3.28,18.83,5,1.0
255953.421000,hsv,129,971.63,479.23,400.0,999.65,584.23,109.46,990.00,540.00,0.00,64.39,5,1.0
255953.453000,hsv,130,985.77,482.53,416.0,999.21,585.55,104.92,990.00,540.00,0.00,58.45,5,1.0
255953.484000,hsv,131,1004.93,597.14,419.0,998.74,586.86,11.45,993.61,597.26,62.29,0.15,5,1.0
255953.515000,hsv,132,1016.04,695.81,410.0,998.23,588.17,107.71,965.03,622.70,101.04,81.94,5,1.0
255953.546000,hsv,133,1012.95,658.67,426.0,997.68,589.49,69.21,972.70,618.33,92.21,48.55,5,1.0
255953.578000,hsv,134,995.03,549.80,402.0,997.10,590.80,42.40,993.65,543.72,5.21,9.56,5,1.0
255953.609000,hsv,135,974.86,512.11,414.0,996.48,592.10,83.91,990.00,540.00,0.00,33.67,5,1.0
255953.640000,hsv,136,969.02,605.97,423.0,995.82,593.40,31.65,974.14,617.37,90.48,13.57,5,1.0
255953.687000,hsv,137,966.49,685.69,412.0,994.76,595.34,95.16,949.40,628.52,117.76,59.23,5,1.0
255953.703000,hsv,138,985.34,630.71,433.0,994.39,595.98,37.99,971.97,618.80,93.08,13.84,5,1.0
255953.734000,hsv,139,974.90,510.69,410.0,993.61,597.26,89.44,990.00,540.00,0.00,34.84,5,1.0
255953.765000,hsv,140,970.11,482.03,420.0,992.80,598.54,119.20,990.00,540.00,0.00,62.15,5,1.0
255953.796000,hsv,141,976.14,606.20,427.0,992.38,599.17,21.46,978.26,614.34,85.38,10.20,5,1.0
255953.828000,hsv,142,989.74,716.35,421.0,991.52,600.42,116.29,953.96,627.19,113.01,93.56,5,1.0
255953.875000,hsv,143,1005.47,669.83,416.0,990.15,602.29,67.66,967.42,621.46,98.36,55.24,5,1.0
255953.906000,hsv,144,988.75,568.12,416.0,989.19,603.51,36.20,1002.07,567.57,30.97,20.52,5,1.0
255953.937000,hsv,145,974.59,520.65,421.0,988.19,604.73,85.83,990.00,540.00,0.00,27.16,5,1.0
255953.968000,hsv,146,971.73,610.33,430.0,987.16,605.92,18.88,973.43,617.85,91.35,8.83,5,1.0
255954.000000,hsv,147,974.98,687.38,418.0,986.09,607.11,81.64,953.06,627.47,113.95,62.61,5,1.0
255954.031000,hsv,148,993.09,611.01,434.0,984.98,608.27,2.74,983.84,609.42,77.93,1.87,5,1.0
255954.062000,hsv,149,983.90,496.72,416.0,983.84,609.42,112.85,990.00,540.00,0.00,44.93,5,1.0
255954.093000,hsv,150,972.44,453.61,426.0,982.66,610.55,157.51,990.00,540.00,0.00,88.83,5,1.0
255954.140000,hsv,151,985.41,583.69,431.0,980.83,612.21,28.57,996.48,592.10,56.39,19.34,5,1.0
255954.171000,hsv,152,1002.32,723.88,439.0,979.56,613.29,111.26,956.62,626.28,110.20,103.72,5,1.0
255954.203000,hsv,153,1022.71,710.28,412.0,978.26,614.34,100.16,964.22,623.09,101.94,97.12,5,1.0
255954.234000,hsv,154,1009.90,620.10,425.0,976.92,615.37,21.04,984.98,608.27,76.31,17.16,5,1.0
255954.265000,hsv,155,981.34,532.26,410.0,975.55,616.38,84.12,990.00,540.00,0.00,15.99,5,1.0
255954.296000,hsv,156,984.07,580.80,430.0,974.14,617.37,36.78,997.68,589.49,53.51,21.46,5,1.0
255954.343000,hsv,157,995.02,729.35,445.0,971.97,618.80,111.47,953.96,627.19,113.01,107.14,5,1.0
255954.390000,hsv,158,1012.90,749.86,409.0,969.73,620.16,133.11,1028.79,828.62,1282.54,83.96,5,1.0
255954.421000,hsv,159,1002.51,628.41,463.5,968.20,621.04,24.81,979.56,613.29,83.70,19.51,5,1.0
255954.453000,hsv,160,972.92,483.55,nan,966.63,621.88,138.37,990.00,540.00,0.00,60.00,5,0.0
255954.484000,hsv,161,956.99,491.59,431.0,965.03,622.70,131.31,990.00,540.00,0.00,58.17,5,1.0
255954.500000,hsv,162,949.61,633.85,442.0,964.22,623.09,16.13,950.32,628.27,116.80,5.89,5,1.0
255954.531000,hsv,163,968.93,698.59,420.0,962.58,623.86,74.84,948.47,628.75,118.72,72.18,5,1.0
255954.578000,hsv,164,956.87,629.81,440.0,960.07,624.95,5.43,956.62,626.28,110.20,3.67,5,1.0
255954.593000,hsv,165,920.81,508.96,nan,959.21,625.30,119.80,990.00,540.00,0.00,67.01,5,0.0
255954.640000,hsv,166,907.98,464.38,433.0,956.62,626.28,165.78,851.03,408.61,431.61,89.47,5,1.0
255954.671000,hsv,167,924.65,567.51,439.0,955.74,626.60,63.13,990.00,540.00,0.00,62.85,5,1.0
255954.703000,hsv,168,945.05,687.86,433.0,953.96,627.19,60.89,939.85,630.43,127.50,58.11,5,1.0
