t_sec,method,frame_idx,x_px,y_px,z_mm,dot_x_px,dot_y_px,dot_dist_px,x_spiral_px,y_spiral_px,s_spiral_px,err_px,depth_window,valid_depth_fraction
256050.812000,hsv,88,1031.43,615.08,400.0,990.00,540.00,78.69,991.96,599.80,65.32,26.48,5,1.0
256050.859000,hsv,89,1028.63,613.57,392.0,990.69,540.61,75.85,991.96,599.80,65.32,23.89,5,1.0
256050.875000,hsv,90,1020.90,587.67,389.0,991.04,540.93,48.98,999.21,585.55,49.28,6.81,5,1.0
256050.921000,hsv,91,1007.89,548.78,393.0,992.04,541.92,7.88,996.79,548.23,10.72,1.03,5,1.0
256050.953000,hsv,92,1003.19,517.28,392.0,992.70,542.62,25.34,990.00,540.00,0.00,22.84,5,1.0
256050.984000,hsv,93,1003.78,498.78,395.0,993.33,543.34,44.57,990.00,540.00,0.00,41.32,5,1.0
256051.031000,hsv,94,1000.84,501.54,396.0,994.26,544.48,43.10,990.00,540.00,0.00,38.47,5,1.0
256051.062000,hsv,95,1010.08,524.63,401.0,994.85,545.27,20.82,990.00,540.00,0.00,17.13,5,1.0
256051.093000,hsv,96,1013.72,544.69,400.0,995.43,546.08,5.05,996.26,547.35,9.69,4.83,5,1.0
256051.125000,hsv,97,1019.07,600.44,nan,995.99,546.92,54.16,994.76,595.34,60.05,10.82,5,0.0
256051.156000,hsv,98,1015.59,620.28,nan,996.53,547.79,72.67,986.63,606.52,73.90,20.40,5,0.0
256051.187000,hsv,99,1014.31,615.96,393.0,997.05,548.67,67.39,987.68,605.33,72.31,16.83,5,1.0
256051.218000,hsv,100,1008.18,584.42,394.0,997.55,549.59,34.86,999.21,585.55,49.28,3.27,5,1.0
256051.250000,hsv,101,1006.29,554.43,394.0,998.02,550.52,5.12,998.90,552.46,15.45,4.63,5,1.0
256051.281000,hsv,102,1005.50,534.46,397.0,998.47,551.48,17.57,990.00,540.00,0.00,6.91,5,1.0
256051.312000,hsv,103,1009.99,527.48,400.0,998.90,552.46,25.03,990.00,540.00,0.00,14.60,5,1.0
256051.343000,hsv,104,1015.42,536.20,399.0,999.31,553.46,17.41,993.33,543.34,4.73,10.90,5,1.0
256051.375000,hsv,105,1014.47,566.09,403.0,999.69,554.49,11.66,1001.99,565.74,29.15,1.19,5,1.0
256051.421000,hsv,106,1023.34,600.57,404.0,1000.21,556.06,45.11,995.47,594.05,58.58,13.69,5,1.0
256051.453000,hsv,107,1020.04,614.72,407.0,1000.53,557.13,57.76,989.67,602.90,69.17,19.38,5,1.0
256051.500000,hsv,108,1024.09,621.97,nan,1000.95,558.78,63.59,988.19,604.73,71.52,26.31,5,0.0
256051.531000,hsv,109,1039.00,601.07,393.0,1001.20,559.90,44.96,997.10,590.80,54.94,24.42,5,1.0
256051.562000,hsv,110,1016.07,560.44,395.0,1001.41,561.04,0.87,1001.31,560.47,23.83,0.75,5,1.0
256051.593000,hsv,111,1011.55,523.25,395.0,1001.60,562.19,39.05,990.00,540.00,0.00,18.86,5,1.0
256051.625000,hsv,112,1006.58,500.29,396.0,1001.76,563.36,63.43,990.00,540.00,0.00,40.01,5,1.0
256051.656000,hsv,113,1004.89,508.79,401.0,1001.89,564.54,56.36,990.00,540.00,0.00,31.43,5,1.0
256051.687000,hsv,114,1009.86,531.75,401.0,1001.94,565.14,33.70,990.00,540.00,0.00,11.08,5,1.0
256051.718000,hsv,115,1018.42,576.19,404.0,1002.02,566.35,10.01,1001.60,575.75,39.19,2.26,5,1.0
256051.750000,hsv,116,1016.36,596.08,403.0,1002.07,567.57,28.51,996.15,592.75,57.11,6.97,5,1.0
256051.781000,hsv,117,1029.83,620.73,394.0,1002.09,568.80,52.94,989.67,602.90,69.17,28.86,5,1.0
256051.828000,hsv,118,1012.63,578.86,401.0,1002.06,570.66,8.59,1001.03,578.99,42.48,1.56,5,1.0
256051.843000,hsv,119,1020.16,566.27,397.0,1002.03,571.29,5.89,1002.02,566.35,29.75,3.10,5,1.0
