t_sec,method,frame_idx,x_px,y_px,z_mm,dot_x_px,dot_y_px,dot_dist_px,x_spiral_px,y_spiral_px,s_spiral_px,err_px,depth_window,valid_depth_fraction
256093.265000,hsv,86,1011.46,526.10,403.0,990.00,540.00,16.35,990.00,540.00,0.00,16.35,5,1.0
256093.296000,hsv,87,1014.31,526.19,401.0,990.35,540.30,17.52,990.00,540.00,0.00,17.49,5,1.0
256093.343000,hsv,88,1012.93,524.72,401.0,991.37,541.26,18.51,990.00,540.00,0.00,18.10,5,1.0
256093.375000,hsv,89,1011.51,524.67,402.0,992.04,541.92,18.47,990.00,540.00,0.00,17.59,5,1.0
256093.390000,hsv,90,1008.62,526.01,403.0,992.37,542.27,16.77,990.00,540.00,0.00,15.41,5,1.0
256093.437000,hsv,91,1011.37,528.94,401.0,993.33,543.34,15.31,990.00,540.00,0.00,13.96,5,1.0
256093.468000,hsv,92,1009.95,528.90,403.0,993.95,544.09,15.59,990.00,540.00,0.00,13.38,5,1.0
256093.500000,hsv,93,1014.22,529.04,402.0,994.56,544.87,16.97,990.35,540.30,0.46,15.28,5,1.0
256093.531000,hsv,94,1012.80,528.99,403.0,995.15,545.67,17.27,990.00,540.00,0.00,14.61,5,1.0
256093.562000,hsv,95,1011.37,528.94,403.0,995.71,546.50,17.78,990.00,540.00,0.00,13.96,5,1.0
256093.593000,hsv,96,1015.60,530.50,402.0,996.26,547.35,17.70,991.37,541.26,1.86,14.91,5,1.0
256093.625000,hsv,97,1014.13,531.88,404.0,996.79,548.23,16.78,991.37,541.26,1.86,13.15,5,1.0
256093.656000,hsv,98,1015.55,531.93,404.0,997.30,549.13,17.75,991.71,541.59,2.33,13.87,5,1.0
256093.703000,hsv,99,1014.04,534.73,402.0,998.02,550.52,15.99,992.37,542.27,3.28,11.11,5,1.0
256093.734000,hsv,100,1012.52,537.53,404.0,998.47,551.48,13.98,993.02,542.98,4.24,8.39,5,1.0
256093.765000,hsv,101,1015.33,539.05,402.0,998.90,552.46,13.66,994.26,544.48,6.19,9.05,5,1.0
256093.796000,hsv,102,1013.77,543.27,404.0,999.31,553.46,10.24,995.71,546.50,8.68,5.63,5,1.0
256093.828000,hsv,103,1015.05,547.59,404.0,999.69,554.49,7.08,997.55,549.59,12.27,4.25,5,1.0
256093.875000,hsv,104,1017.95,546.25,404.0,1000.21,556.06,10.33,997.55,549.59,12.27,6.79,5,1.0
256093.921000,hsv,105,1017.63,556.22,402.0,1000.67,557.68,2.94,1000.53,557.13,20.40,2.85,5,1.0
256093.937000,hsv,106,1015.01,549.01,403.0,1000.82,558.23,9.23,998.02,550.52,13.32,3.57,5,1.0
256093.968000,hsv,107,1013.59,548.96,403.0,1001.08,559.34,10.41,997.79,550.05,12.80,2.64,5,1.0
256094.015000,hsv,108,1016.39,550.48,403.0,1001.41,561.04,10.59,998.69,551.97,14.92,3.90,5,1.0
256094.046000,hsv,109,1016.39,550.48,404.0,1001.60,562.19,11.73,998.69,551.97,14.92,3.90,5,1.0
256094.078000,hsv,110,1017.72,553.37,402.0,1001.76,563.36,10.10,999.69,554.49,17.63,3.77,5,1.0
256094.109000,hsv,111,1017.68,554.79,402.0,1001.89,564.54,9.84,1000.04,555.53,18.73,3.30,5,1.0
256094.140000,hsv,112,1017.63,556.22,400.0,1001.94,565.14,9.01,1000.53,557.13,20.40,2.85,5,1.0
256094.187000,hsv,113,1018.92,560.53,403.0,1002.05,566.95,6.77,1001.41,561.04,24.41,2.82,5,1.0
256094.203000,hsv,114,1018.60,570.50,403.0,1002.07,567.57,3.48,1002.06,570.66,34.07,1.90,5,1.0
256094.234000,hsv,115,1015.98,563.29,403.0,1002.09,568.80,5.51,1001.76,563.36,26.75,0.23,5,1.0
256094.265000,hsv,116,1017.31,566.18,403.0,1002.08,570.04,3.96,1002.02,566.35,29.75,0.97,5,1.0
256094.328000,hsv,117,1018.69,567.65,404.0,1001.95,572.56,5.32,1002.07,567.57,30.97,1.95,5,1.0
256094.359000,hsv,118,1020.07,569.12,404.0,1001.83,573.83,5.70,1002.09,568.80,32.21,2.98,5,1.0
256094.390000,hsv,119,1018.65,569.07,403.0,1001.68,575.11,6.46,1002.09,568.80,32.21,1.91,5,1.0
256094.421000,hsv,120,1018.60,570.50,404.0,1001.50,576.40,6.39,1002.06,570.66,34.07,1.90,5,1.0
256094.453000,hsv,121,1018.51,573.35,404.0,1001.28,577.69,5.07,1001.90,573.19,36.61,1.99,5,1.0
256094.484000,hsv,122,1015.66,573.26,403.0,1001.03,578.99,5.78,1001.90,573.19,36.61,0.16,5,1.0
256094.515000,hsv,123,1018.24,581.89,402.0,1000.74,580.30,3.34,1000.58,580.95,44.49,3.24,5,1.0
256094.546000,hsv,124,1007.35,565.87,407.0,1000.41,581.61,16.49,1001.94,565.14,28.55,6.47,5,1.0
256094.578000,hsv,125,1012.63,578.86,405.0,1000.05,582.92,4.10,1001.03,578.99,42.48,1.56,5,1.0
256094.609000,hsv,126,1012.59,580.28,407.0,999.65,584.23,3.95,1000.74,580.30,43.81,1.29,5,1.0
256094.640000,hsv,127,1013.97,581.75,405.0,999.21,585.55,4.00,1000.41,581.61,45.16,0.16,5,1.0
256094.671000,hsv,128,1013.61,593.14,405.0,998.74,586.86,6.45,996.79,591.45,55.66,3.81,5,1.0
256094.703000,hsv,129,1009.56,585.89,407.0,998.23,588.17,2.52,998.98,586.20,49.98,1.84,5,1.0
256094.734000,hsv,130,1009.52,587.31,407.0,997.68,589.49,2.24,998.49,587.52,51.38,1.37,5,1.0
256094.765000,hsv,131,1001.29,577.07,410.0,997.10,590.80,15.03,1001.03,578.99,42.48,10.24,5,1.0
256094.796000,hsv,132,1006.58,590.07,407.0,996.48,592.10,2.55,997.10,590.80,54.94,2.28,5,1.0
256094.828000,hsv,133,1010.58,598.74,403.0,995.82,593.40,5.75,994.00,596.62,61.54,4.46,5,1.0
256094.875000,hsv,134,1002.26,591.35,407.0,994.76,595.34,5.03,995.82,593.40,57.84,4.60,5,1.0
256094.906000,hsv,135,1003.55,595.67,407.0,994.00,596.62,1.65,994.00,596.62,61.54,1.65,5,1.0
256094.937000,hsv,136,1001.95,601.32,405.0,993.21,597.90,3.84,991.07,601.05,66.85,0.47,5,1.0
256094.984000,hsv,137,999.23,596.96,409.0,991.96,599.80,3.80,992.38,599.17,64.56,3.69,5,1.0
256095.015000,hsv,138,999.14,599.80,407.0,991.52,600.42,2.25,991.07,601.05,66.85,2.12,5,1.0
256095.062000,hsv,139,1003.10,609.90,407.0,990.15,602.29,7.92,987.68,605.33,72.31,6.52,5,1.0
256095.093000,hsv,140,1001.90,602.74,405.0,989.19,603.51,2.37,990.61,601.67,67.62,1.34,5,1.0
256095.140000,hsv,141,997.58,604.03,410.0,987.68,605.33,1.39,988.70,604.12,70.74,0.52,5,1.0
256095.171000,hsv,142,998.92,606.92,407.0,986.63,606.52,2.59,987.68,605.33,72.31,2.19,5,1.0
256095.203000,hsv,143,993.18,608.16,408.0,985.54,607.69,0.81,984.98,608.27,76.31,0.15,5,1.0
256095.234000,hsv,144,997.13,618.26,407.0,984.42,608.85,10.02,981.45,611.66,81.21,9.20,5,1.0
256095.265000,hsv,145,994.51,611.06,409.0,983.26,609.99,2.84,983.84,609.42,77.93,2.62,5,1.0
256095.296000,hsv,146,991.62,612.39,408.0,982.06,611.11,2.09,982.06,611.11,80.38,2.09,5,1.0
256095.328000,hsv,147,997.04,621.11,407.0,980.83,612.21,11.30,980.20,612.75,82.86,11.29,5,1.0
256095.359000,hsv,148,988.64,616.57,408.0,979.56,613.29,3.80,978.91,613.82,84.54,3.76,5,1.0
256095.406000,hsv,149,990.01,618.04,408.0,977.59,614.86,5.86,978.91,613.82,84.54,5.55,5,1.0
256095.437000,hsv,150,991.17,626.62,408.0,976.24,615.88,12.90,975.55,616.38,88.77,12.89,5,1.0
256095.468000,hsv,151,982.81,620.66,410.0,974.85,616.88,4.40,974.85,616.88,89.62,4.40,5,1.0
256095.500000,hsv,152,982.72,623.51,410.0,973.43,617.85,6.71,973.43,617.85,91.35,6.71,5,1.0
256095.546000,hsv,153,979.87,623.42,411.0,971.23,619.26,5.54,971.97,618.80,93.08,5.47,5,1.0
256095.578000,hsv,154,981.34,622.04,410.0,969.73,620.16,6.55,973.43,617.85,91.35,4.92,5,1.0
256095.609000,hsv,155,986.81,629.34,407.0,968.20,621.04,14.51,972.70,618.33,92.21,13.27,5,1.0
256095.640000,hsv,156,976.80,630.44,409.0,966.63,621.88,10.43,967.42,621.46,98.36,10.37,5,1.0
256095.656000,hsv,157,971.42,620.30,411.0,965.84,622.29,3.38,968.97,620.60,96.59,0.51,5,1.0
256095.703000,hsv,158,972.89,618.92,410.0,963.41,623.48,7.74,970.49,619.71,94.83,1.14,5,1.0
256095.734000,hsv,159,968.71,615.94,412.0,961.75,624.23,9.57,968.97,620.60,96.59,5.26,5,1.0
256095.765000,hsv,160,957.59,607.03,413.0,960.07,624.95,18.02,965.84,622.29,100.15,17.07,5,1.0
256095.796000,hsv,161,964.44,615.80,409.0,958.36,625.63,11.02,966.63,621.88,99.25,6.92,5,1.0
256095.843000,hsv,162,958.74,615.62,410.0,955.74,626.60,11.47,962.58,623.86,103.76,8.96,5,1.0
256095.875000,hsv,163,951.62,615.39,410.0,953.96,627.19,11.80,957.49,625.96,109.27,11.22,5,1.0
256095.906000,hsv,164,950.20,615.35,411.0,953.06,627.47,12.13,956.62,626.28,110.20,11.63,5,1.0
256095.937000,hsv,165,945.93,615.21,409.0,951.24,628.02,12.93,953.06,627.47,113.95,12.78,5,1.0
256095.968000,hsv,166,938.77,616.41,410.0,949.40,628.52,13.23,946.59,629.20,120.65,13.03,5,1.0
256096.000000,hsv,167,934.45,617.70,411.0,947.53,628.98,13.12,942.77,629.97,124.54,12.42,5,1.0
256096.031000,hsv,168,928.71,618.94,412.0,945.64,629.40,13.88,937.88,630.69,129.49,11.83,5,1.0
256096.062000,hsv,169,925.91,617.42,411.0,943.74,629.79,15.47,935.89,630.91,131.49,13.56,5,1.0
256096.093000,hsv,170,923.11,615.91,410.0,941.80,630.13,17.09,932.88,631.15,134.51,15.25,5,1.0
256096.125000,hsv,171,914.48,618.49,412.0,939.85,630.43,18.40,925.71,631.32,141.68,12.84,5,1.0
256096.171000,hsv,172,914.48,618.49,414.0,936.89,630.81,16.54,925.71,631.32,141.68,12.84,5,1.0
256096.203000,hsv,173,910.21,618.35,412.0,934.89,631.00,17.60,921.54,631.17,145.86,12.87,5,1.0
256096.234000,hsv,174,907.36,618.26,414.0,932.88,631.15,17.86,919.44,631.02,147.96,12.81,5,1.0
256096.265000,hsv,175,901.62,619.50,413.0,930.85,631.26,18.77,915.21,630.58,152.21,11.12,5,1.0
256096.296000,hsv,176,900.20,619.46,411.0,928.80,631.32,18.09,913.09,630.29,154.36,11.03,5,1.0
256096.343000,hsv,177,897.35,619.37,412.0,925.71,631.32,17.44,910.95,629.95,156.52,10.78,5,1.0
256096.359000,hsv,178,890.19,620.56,412.0,924.67,631.30,20.13,905.61,628.88,161.97,8.56,5,1.0
256096.406000,hsv,179,884.54,618.96,413.0,921.54,631.17,21.86,901.32,627.79,166.40,9.08,5,1.0
256096.437000,hsv,180,883.11,618.91,412.0,919.44,631.02,20.96,900.25,627.49,167.51,8.83,5,1.0
256096.468000,hsv,181,881.69,618.87,411.0,917.33,630.83,20.02,899.17,627.18,168.63,8.57,5,1.0
256096.500000,hsv,182,881.69,618.87,412.0,915.21,630.58,18.21,899.17,627.18,168.63,8.57,5,1.0
256096.531000,hsv,183,878.80,620.20,412.0,913.09,630.29,17.25,897.03,626.51,170.87,6.64,5,1.0
256096.578000,hsv,184,874.53,620.07,414.0,909.89,629.76,17.02,893.82,625.41,174.26,5.73,5,1.0
256096.593000,hsv,185,874.53,620.07,413.0,908.82,629.56,16.03,893.82,625.41,174.26,5.73,5,1.0
256096.625000,hsv,186,871.64,621.40,412.0,906.68,629.12,15.08,892.75,625.02,175.40,3.75,5,1.0
