t_sec,method,frame_idx,x_px,y_px,z_mm,dot_x_px,dot_y_px,dot_dist_px,x_spiral_px,y_spiral_px,s_spiral_px,err_px,depth_window,valid_depth_fraction
105225.671000,mp,56,1296.79,672.67,400.0,990.00,540.00,259.13,1194.98,667.40,1043.85,18.37,5,1.0
105225.703000,mp,57,1290.26,666.16,400.0,990.69,540.61,250.70,1196.86,662.36,1038.46,11.48,5,1.0
105225.781000,mp,58,1294.06,661.38,400.0,992.04,541.92,249.02,1198.64,657.29,1033.09,12.59,5,1.0
105225.828000,mp,59,1292.94,659.52,400.0,993.02,542.98,246.04,1199.48,654.74,1030.41,11.29,5,1.0
105225.859000,mp,60,1290.21,658.75,400.0,993.65,543.72,242.97,1199.48,654.74,1030.41,9.10,5,1.0
105225.906000,mp,61,1295.96,659.89,400.0,994.56,544.87,245.97,1199.48,654.74,1030.41,13.51,5,1.0
105225.953000,mp,62,1295.38,656.37,400.0,995.43,546.08,242.62,1200.30,652.19,1027.73,11.98,5,1.0
105225.984000,mp,63,1289.88,656.16,400.0,995.99,546.92,237.97,1199.48,654.74,1030.41,8.05,5,1.0
105226.093000,mp,64,1294.35,648.93,400.0,997.79,550.05,234.81,1201.85,647.08,1022.39,9.09,5,1.0
105226.140000,mp,65,1293.02,651.95,400.0,998.47,551.48,233.96,1201.09,649.64,1025.06,8.98,5,1.0
105226.171000,mp,66,1293.53,650.40,400.0,998.90,552.46,232.84,1201.85,647.08,1022.39,8.93,5,1.0
105226.218000,mp,67,1282.82,637.92,400.0,999.50,553.97,219.31,1203.99,639.38,1014.40,2.38,5,1.0
105226.265000,mp,68,1288.61,640.39,400.0,1000.04,555.53,223.18,1203.99,639.38,1014.40,2.67,5,1.0
105226.312000,mp,69,1273.26,625.32,400.0,1000.53,557.13,206.03,1206.45,629.07,1003.80,12.10,5,1.0
105226.375000,mp,70,1257.47,607.40,400.0,1001.08,559.34,188.27,1209.72,610.95,985.38,26.85,5,1.0
105226.421000,mp,71,1266.91,604.01,400.0,1001.41,561.04,193.60,1210.41,605.76,980.15,20.30,5,1.0
105226.468000,mp,72,1267.98,601.71,400.0,1001.69,562.77,193.26,1210.71,603.17,977.54,19.78,5,1.0
105226.515000,mp,73,1250.49,574.79,400.0,1001.89,564.54,176.28,1212.32,574.74,949.05,34.45,5,1.0
105226.546000,mp,74,1255.96,577.58,400.0,1001.94,565.14,180.45,1212.31,577.31,951.62,30.34,5,1.0
105226.593000,mp,75,1252.58,562.11,400.0,1002.05,566.95,177.45,1211.86,559.38,933.68,32.53,5,1.0
105226.687000,mp,76,1256.97,552.44,400.0,1002.06,570.66,181.59,1211.03,549.25,923.51,28.48,5,1.0
105226.734000,mp,77,1256.00,546.02,400.0,1001.95,572.56,182.00,1210.14,541.70,915.92,28.47,5,1.0
105226.781000,mp,78,1258.11,547.13,400.0,1001.76,574.47,183.87,1210.46,544.21,918.44,27.04,5,1.0
105226.828000,mp,79,1264.92,563.18,400.0,1001.50,576.40,187.65,1212.00,561.93,936.23,23.34,5,1.0
105226.859000,mp,80,1265.79,560.47,400.0,1001.28,577.69,188.85,1211.86,559.38,933.68,22.54,5,1.0
105226.906000,mp,81,1287.58,584.36,400.0,1000.89,579.64,204.85,1212.11,585.05,959.36,6.46,5,1.0
105226.968000,mp,82,1317.34,595.08,400.0,1000.23,582.26,228.13,1211.67,592.80,967.13,16.49,5,1.0
105227.015000,mp,83,1312.04,596.21,400.0,999.65,584.23,224.70,1211.47,595.39,969.72,12.58,5,1.0
105227.062000,mp,84,1311.12,596.93,400.0,998.98,586.20,224.61,1211.47,595.39,969.72,11.97,5,1.0
105227.093000,mp,85,1372.44,677.23,400.0,998.49,587.52,285.31,1199.48,654.74,1030.41,73.38,5,1.0
105227.140000,mp,86,1371.59,667.24,400.0,997.68,589.49,281.95,1201.85,647.08,1022.39,69.81,5,1.0
105227.203000,mp,87,1403.39,785.52,400.0,996.48,592.10,353.65,1173.29,711.36,1092.93,140.43,5,1.0
105227.281000,mp,88,1356.67,859.01,400.0,994.76,595.34,372.23,1141.39,753.63,1145.97,156.80,5,1.0
105227.312000,mp,89,1364.49,868.44,400.0,994.00,596.62,382.67,1141.39,753.63,1145.97,167.51,5,1.0
105227.359000,mp,90,1351.81,870.55,400.0,992.80,598.54,377.02,1137.53,757.75,1151.62,162.04,5,1.0
105227.390000,mp,91,1224.41,912.72,400.0,991.96,599.80,354.39,1086.74,799.73,1217.66,133.75,5,1.0
105227.437000,mp,92,1240.31,925.23,400.0,991.07,601.05,370.40,1086.74,799.73,1217.66,150.74,5,1.0
105227.468000,mp,93,1230.82,925.79,400.0,990.15,602.29,366.84,1084.29,801.30,1220.57,147.36,5,1.0
105227.515000,mp,94,1108.54,838.05,400.0,988.70,604.12,248.12,1058.76,815.69,1249.89,25.69,5,1.0
