t_sec,method,frame_idx,x_px,y_px,z_mm,dot_x_px,dot_y_px,dot_dist_px,x_spiral_px,y_spiral_px,s_spiral_px,err_px,depth_window,valid_depth_fraction
174201.671000,mp,65,1285.63,360.70,402.0,990.00,540.00,279.36,1150.00,411.90,770.60,74.58,5,1.0
174201.718000,mp,66,1250.73,364.40,397.0,990.69,540.61,257.20,1140.31,402.02,756.75,53.28,5,1.0
174201.765000,mp,67,1231.31,389.77,393.0,991.71,541.59,229.25,1145.22,406.88,763.66,25.02,5,1.0
174201.812000,mp,68,1216.02,427.25,393.0,992.70,542.62,196.70,1159.15,422.46,784.57,8.60,5,1.0
174201.828000,mp,69,1175.47,479.02,394.0,993.02,542.98,143.61,1175.64,445.46,812.89,63.61,5,1.0
174201.875000,mp,70,1151.95,507.18,399.0,993.95,544.09,116.03,1187.33,466.38,836.86,92.81,5,1.0
174201.921000,mp,71,1135.21,511.07,406.0,994.85,545.27,102.43,998.69,551.97,14.92,101.34,5,1.0
174201.953000,mp,72,1125.36,509.19,410.0,995.43,546.08,95.96,998.02,550.52,13.32,95.41,5,1.0
174202.000000,mp,73,1114.26,509.10,416.0,996.26,547.35,88.16,997.55,549.59,12.27,88.01,5,1.0
174202.031000,mp,74,1088.34,526.70,422.0,996.79,548.23,63.24,998.69,551.97,14.92,62.86,5,1.0
174202.078000,mp,75,1077.09,530.40,426.0,997.55,549.59,53.80,998.69,551.97,14.92,53.65,5,1.0
174202.125000,mp,76,1063.90,537.56,427.0,998.25,551.00,41.89,999.11,552.96,15.99,41.76,5,1.0
174202.156000,mp,77,1047.23,542.01,428.0,998.69,551.97,28.53,999.11,552.96,15.99,28.50,5,1.0
174202.218000,mp,78,1030.42,545.55,428.0,999.50,553.97,15.76,998.69,551.97,14.92,15.52,5,1.0
174202.265000,mp,79,1003.74,550.53,428.0,1000.04,555.53,8.80,996.79,548.23,10.72,4.60,5,1.0
174202.296000,mp,80,996.89,544.22,431.0,1000.37,556.60,17.73,991.04,540.93,1.39,4.71,5,1.0
174202.328000,mp,81,994.31,536.68,433.0,1000.67,557.68,25.77,990.00,540.00,0.00,5.41,5,1.0
174202.375000,mp,82,988.92,522.30,436.0,1001.08,559.34,41.80,990.00,540.00,0.00,19.55,5,1.0
174202.421000,mp,83,988.39,517.54,436.0,1001.41,561.04,47.92,990.00,540.00,0.00,24.08,5,1.0
174202.453000,mp,84,989.65,518.98,436.0,1001.60,562.19,47.35,990.00,540.00,0.00,22.41,5,1.0
174202.484000,mp,85,990.30,530.46,433.0,1001.76,563.36,38.02,990.00,540.00,0.00,12.00,5,1.0
174202.546000,mp,86,983.86,555.83,431.0,1001.94,565.14,25.79,992.37,542.27,3.28,19.84,5,1.0
174202.593000,mp,87,962.32,626.95,431.0,1002.05,566.95,72.28,960.91,624.60,105.58,2.49,5,1.0
174202.625000,mp,88,943.37,587.01,434.0,1002.09,568.18,57.72,965.03,622.70,101.04,39.75,5,1.0
174202.656000,mp,89,942.77,564.41,434.0,1002.09,569.42,55.24,990.00,540.00,0.00,49.38,5,1.0
174202.703000,mp,90,948.52,563.71,432.0,1002.03,571.29,51.20,990.00,540.00,0.00,45.31,5,1.0
174202.734000,mp,91,948.72,601.37,nan,1001.95,572.56,58.07,961.75,624.23,104.67,25.04,5,0.0
174202.781000,mp,92,940.99,635.14,432.0,1001.76,574.47,82.58,944.69,629.60,122.59,5.64,5,1.0
174202.828000,mp,93,938.13,584.37,436.0,1001.50,576.40,58.45,960.91,624.60,105.58,43.79,5,1.0
174202.859000,mp,94,935.32,560.26,436.0,1001.28,577.69,62.28,990.00,540.00,0.00,52.57,5,1.0
174202.906000,mp,95,944.14,654.25,429.0,1000.89,579.64,91.39,943.74,629.79,123.56,24.85,5,1.0
174202.953000,mp,96,943.64,662.43,431.0,1000.41,581.61,96.48,941.80,630.13,125.52,32.84,5,1.0
174203.000000,mp,97,956.56,587.56,438.0,999.85,583.57,42.62,978.91,613.82,84.54,33.93,5,1.0
174203.031000,mp,98,979.50,555.99,436.0,999.43,584.89,38.09,990.00,540.00,0.00,22.19,5,1.0
174203.078000,mp,99,990.91,603.44,nan,998.74,586.86,22.74,986.63,606.52,73.90,4.62,5,0.0
174203.125000,mp,100,997.96,689.50,431.0,997.96,588.83,101.11,960.91,624.60,105.58,70.51,5,1.0
174203.156000,mp,101,994.50,623.21,443.0,997.39,590.14,35.02,978.26,614.34,85.38,11.69,5,1.0
174203.203000,mp,102,1004.58,570.25,438.0,996.48,592.10,22.06,1002.06,570.66,34.07,8.64,5,1.0
174203.250000,mp,103,1021.07,606.88,nan,995.47,594.05,16.47,992.80,598.54,63.80,15.45,5,0.0
174203.296000,mp,104,1036.51,732.11,468.0,994.39,595.98,138.05,1058.76,815.69,1249.89,93.27,5,1.0
174203.343000,mp,105,1032.79,695.21,463.0,993.21,597.90,99.63,969.73,620.16,95.71,87.43,5,1.0
174203.375000,mp,106,1018.39,554.87,439.0,992.38,599.17,45.75,1000.21,556.06,19.28,3.78,5,1.0
174203.421000,mp,107,1012.39,565.35,436.0,991.52,600.42,35.92,1001.94,565.14,28.55,2.66,5,1.0
174203.468000,mp,108,1015.70,662.94,nan,990.15,602.29,61.76,972.70,618.33,92.21,53.25,5,0.0
174203.531000,mp,109,986.62,635.66,456.0,988.19,604.73,32.01,970.49,619.71,94.83,18.55,5,1.0
174203.578000,mp,110,986.17,555.63,445.0,986.63,606.52,51.36,993.95,544.09,5.70,18.39,5,1.0
174203.609000,mp,111,981.55,558.21,437.0,985.54,607.69,50.36,993.65,543.72,5.21,22.71,5,1.0
174203.640000,mp,112,991.76,656.85,434.0,984.42,608.85,48.01,965.84,622.29,100.15,38.96,5,1.0
174203.687000,mp,113,986.78,653.24,451.0,982.66,610.55,42.76,965.03,622.70,101.04,34.05,5,1.0
174203.734000,mp,114,981.73,572.04,446.0,980.83,612.21,40.42,1001.60,575.75,39.19,25.57,5,1.0
174203.765000,mp,115,976.26,548.37,439.0,979.56,613.29,65.33,990.00,540.00,0.00,19.67,5,1.0
174203.812000,mp,116,983.43,631.69,nan,977.59,614.86,16.83,970.49,619.71,94.83,13.91,5,0.0
174203.843000,mp,117,997.30,722.10,465.0,976.24,615.88,106.86,955.74,626.60,111.13,100.80,5,1.0
174203.890000,mp,118,964.09,636.77,450.0,974.14,617.37,22.34,958.36,625.63,108.34,12.10,5,1.0
174203.937000,mp,119,962.21,559.00,440.0,971.97,618.80,60.68,990.00,540.00,0.00,34.12,5,1.0
174203.968000,mp,120,955.53,598.81,nan,970.49,619.71,25.07,968.97,620.60,96.59,25.03,5,0.0
174204.015000,mp,121,985.63,748.01,435.0,968.20,621.04,127.45,1003.02,836.75,1309.57,91.87,5,1.0
174204.062000,mp,122,975.36,715.11,482.0,965.84,622.29,92.99,949.40,628.52,117.76,89.38,5,1.0
174204.093000,mp,123,957.64,589.95,450.0,964.22,623.09,33.68,977.59,614.86,86.22,31.55,5,1.0
174204.140000,mp,124,949.42,553.48,439.0,961.75,624.23,71.41,990.00,540.00,0.00,40.26,5,1.0
174204.187000,mp,125,963.44,649.51,nan,959.21,625.30,24.45,954.85,626.90,112.07,23.90,5,0.0
174204.234000,mp,126,972.40,723.72,491.0,956.62,626.28,98.26,947.53,628.98,119.68,97.21,5,1.0
174204.281000,mp,127,946.73,555.46,449.0,953.96,627.19,71.84,990.00,540.00,0.00,42.84,5,1.0
174204.328000,mp,128,936.95,537.05,445.0,952.15,627.75,91.19,990.00,540.00,0.00,47.38,5,1.0
174204.359000,mp,129,936.35,567.34,nan,950.32,628.27,61.46,990.00,540.00,0.00,55.01,5,0.0
174204.406000,mp,130,931.14,651.42,456.0,947.53,628.98,24.24,935.89,630.91,131.49,20.65,5,1.0
174204.437000,mp,131,935.91,562.36,450.0,945.64,629.40,67.14,990.00,540.00,0.00,53.01,5,1.0
174204.484000,mp,132,933.65,539.16,446.0,942.77,629.97,90.84,990.00,540.00,0.00,49.77,5,1.0
174204.531000,mp,133,930.51,564.58,nan,939.85,630.43,65.88,990.00,540.00,0.00,57.63,5,0.0
174204.562000,mp,134,953.97,689.90,480.0,937.88,630.69,61.77,943.74,629.79,123.56,61.25,5,1.0
174204.609000,mp,135,929.88,597.66,454.0,934.89,631.00,33.43,943.74,629.79,123.56,32.74,5,1.0
174204.656000,mp,136,926.49,545.59,449.0,931.87,631.21,85.67,990.00,540.00,0.00,55.42,5,1.0
174204.687000,mp,137,913.96,545.34,445.0,929.83,631.29,86.06,990.00,540.00,0.00,64.75,5,1.0
174204.734000,mp,138,914.20,617.89,nan,926.74,631.33,13.49,925.71,631.32,141.68,13.43,5,0.0
174204.765000,mp,139,916.17,694.60,485.0,924.67,631.30,63.35,926.74,631.33,140.65,63.27,5,1.0
174204.812000,mp,140,897.47,597.19,450.0,921.54,631.17,35.01,905.61,628.88,161.97,32.56,5,1.0
174204.859000,mp,141,884.81,567.19,448.0,918.39,630.93,65.43,873.89,615.77,196.45,56.95,5,1.0
174204.890000,mp,142,884.43,582.70,442.0,916.27,630.71,49.73,885.32,621.92,183.46,43.16,5,1.0
174204.937000,mp,143,896.07,671.19,488.0,913.09,630.29,40.92,916.27,630.71,151.15,40.70,5,1.0
174204.953000,mp,144,909.58,698.15,476.0,912.02,630.12,68.78,924.67,631.30,142.72,66.90,5,1.0
174205.000000,mp,145,878.57,613.74,453.0,908.82,629.56,18.65,894.89,625.79,173.13,12.71,5,1.0
174205.046000,mp,146,856.52,557.37,447.0,905.61,628.88,75.18,843.31,588.18,237.85,49.77,5,1.0
174205.078000,mp,147,857.98,615.44,nan,903.46,628.36,23.79,881.12,619.86,188.13,5.01,5,0.0
174205.125000,mp,148,875.35,721.34,458.0,900.25,627.49,93.93,912.02,630.12,155.44,92.53,5,1.0
174205.171000,mp,149,859.26,679.52,481.0,898.10,626.85,54.41,900.25,627.49,167.51,54.37,5,1.0
174205.218000,mp,150,818.44,574.42,449.0,894.89,625.79,65.77,840.16,583.96,243.12,16.67,5,1.0
174205.265000,mp,151,809.51,590.10,nan,891.69,624.62,56.35,845.76,591.23,233.93,1.78,5,0.0
174205.296000,mp,152,838.10,685.54,477.0,889.56,623.77,65.24,891.69,624.62,176.54,65.16,5,1.0
174205.343000,mp,153,804.78,601.84,456.0,886.38,622.40,47.47,850.03,596.08,227.47,8.63,5,1.0
174205.390000,mp,154,796.20,557.04,454.0,883.22,620.92,78.75,827.45,561.61,268.87,10.73,5,1.0
174205.437000,mp,155,785.85,552.69,452.0,880.08,619.32,83.72,824.80,555.15,275.86,5.21,5,1.0
174205.484000,mp,156,820.93,697.81,461.0,876.97,617.60,82.98,887.43,622.87,181.14,81.39,5,1.0
174205.531000,mp,157,795.97,644.86,474.0,873.89,615.77,47.00,864.88,609.58,207.37,44.98,5,1.0
174205.578000,mp,158,779.85,543.59,454.0,870.85,613.82,83.93,821.22,544.39,287.20,3.75,5,1.0
174205.625000,mp,159,774.92,570.24,nan,867.84,611.76,62.46,829.79,566.61,263.35,9.34,5,0.0
174205.671000,mp,160,821.49,702.27,500.0,864.88,609.58,93.10,888.49,623.33,179.99,85.32,5,1.0
174205.718000,mp,161,786.30,599.83,459.0,861.97,607.29,33.10,844.12,589.21,236.54,17.88,5,1.0
174205.765000,mp,162,781.02,543.42,458.0,859.12,604.89,69.94,821.22,544.39,287.20,4.65,5,1.0
174205.812000,mp,163,782.26,575.08,nan,856.32,602.38,40.28,832.32,571.46,257.88,6.69,5,0.0
174205.859000,mp,164,821.48,667.77,473.0,853.58,599.75,68.06,881.12,619.86,188.13,54.04,5,1.0
174205.890000,mp,165,786.60,611.36,469.0,851.79,597.94,25.63,848.30,594.18,230.05,25.13,5,1.0
174205.937000,mp,166,771.66,493.11,463.0,849.16,595.14,106.46,816.49,492.70,339.40,2.29,5,1.0
174205.984000,mp,167,769.33,499.78,460.0,846.60,592.23,97.07,816.00,500.39,331.69,1.17,5,1.0
174206.031000,mp,168,778.61,587.34,nan,844.12,589.21,20.25,837.16,579.56,248.44,15.33,5,0.0
174206.062000,mp,169,790.17,653.75,477.0,843.31,588.18,66.43,865.87,610.32,206.15,54.69,5,1.0
174206.109000,mp,170,773.53,507.49,466.0,840.93,585.03,80.28,815.91,508.02,324.06,4.28,5,1.0
174206.156000,mp,171,763.36,480.74,462.0,838.64,581.78,104.37,817.89,481.85,350.34,5.48,5,1.0
174206.203000,mp,172,793.98,621.04,495.0,836.44,578.44,42.62,854.48,600.64,221.10,27.88,5,1.0
174206.250000,mp,173,809.13,640.70,496.0,834.33,575.00,66.89,867.84,611.76,203.70,35.75,5,1.0
174206.312000,mp,174,764.39,484.81,468.0,831.67,570.26,87.41,817.41,484.95,347.20,4.12,5,1.0
174206.359000,mp,175,749.71,468.91,464.0,829.79,566.61,101.50,819.74,472.52,359.85,17.82,5,1.0
174206.406000,mp,176,746.78,514.36,nan,828.02,562.87,55.98,816.12,514.06,318.02,16.04,5,0.0
174206.453000,mp,177,775.21,614.05,492.0,826.35,559.05,55.22,846.60,592.23,232.63,33.33,5,1.0
174206.500000,mp,178,746.81,513.80,471.0,824.80,555.15,48.16,816.04,512.55,319.53,15.99,5,1.0
174206.546000,mp,179,738.01,456.25,468.0,823.36,551.17,99.50,821.75,464.76,367.87,29.50,5,1.0
174206.593000,mp,180,738.89,509.42,nan,822.03,547.12,46.88,815.94,509.53,322.55,21.77,5,0.0
174206.640000,mp,181,757.67,580.39,482.0,820.83,543.01,39.44,831.03,569.06,260.61,25.45,5,1.0
174206.687000,mp,182,744.99,477.44,473.0,819.75,538.82,64.88,818.15,480.29,351.92,19.62,5,1.0
174206.734000,mp,183,737.63,437.47,471.0,818.80,534.57,100.42,826.45,450.89,382.52,35.83,5,1.0
174206.781000,mp,184,749.68,549.94,nan,817.98,530.27,25.18,821.22,544.39,287.20,19.76,5,0.0
174206.812000,mp,185,791.19,639.40,490.0,817.51,527.37,113.15,861.02,606.50,212.32,42.95,5,1.0
174206.859000,mp,186,780.25,596.34,502.0,816.91,522.98,73.83,840.93,585.03,241.79,19.38,5,1.0
174206.906000,mp,187,748.10,449.84,470.0,816.45,518.54,70.40,824.19,457.03,375.98,24.20,5,1.0
174206.953000,mp,188,743.77,444.07,467.0,816.21,515.55,73.81,825.28,453.95,379.24,29.19,5,1.0
174206.984000,mp,189,753.57,496.26,nan,816.04,512.55,19.58,816.15,497.32,334.76,11.02,5,0.0
174207.031000,mp,190,777.59,591.46,467.0,815.91,508.02,83.76,838.64,581.78,245.77,18.23,5,1.0
174207.078000,mp,191,762.73,549.67,453.0,815.91,503.45,46.38,822.03,547.12,284.35,10.31,5,1.0
174207.109000,mp,192,744.64,542.67,449.0,816.00,500.39,45.77,819.42,537.41,294.40,21.60,5,1.0
174207.156000,mp,193,714.83,611.46,446.0,816.25,495.78,122.44,835.02,576.15,252.46,68.68,5,1.0
174207.187000,mp,194,692.58,692.08,nan,816.49,492.70,207.39,699.83,752.46,1638.96,84.85,5,0.0
174207.234000,mp,195,535.22,946.63,371.0,816.99,488.06,491.04,746.15,790.81,1578.74,187.75,5,1.0
174207.281000,mp,196,460.58,1069.80,352.0,817.64,483.40,630.70,757.22,798.06,1565.51,321.48,5,1.0
174207.312000,mp,197,404.92,1170.11,332.0,818.15,480.29,742.41,762.84,801.50,1558.92,428.83,5,1.0
174207.359000,mp,198,376.91,1269.88,312.0,819.05,475.63,847.74,774.25,808.03,1545.77,525.92,5,1.0
174207.406000,mp,199,337.07,1448.95,nan,820.11,470.97,1031.30,791.75,816.89,1526.15,699.19,5,0.0
174207.890000,mp,209,257.09,652.78,335.0,839.13,425.49,465.56,611.64,601.51,1815.73,186.02,5,1.0
174207.937000,mp,210,311.53,586.75,nan,841.88,421.17,403.75,603.15,563.15,1855.04,131.64,5,0.0
174207.984000,mp,211,373.10,442.87,379.0,844.78,416.91,325.99,602.04,454.21,1964.40,82.99,5,1.0
174208.031000,mp,212,407.68,406.12,387.0,847.83,412.72,302.14,608.21,421.38,1997.82,64.29,5,1.0
174208.078000,mp,213,427.70,350.18,397.0,851.03,408.61,296.08,622.47,374.78,2046.59,66.42,5,1.0
174208.125000,mp,214,425.26,329.30,406.0,854.37,404.57,304.87,628.12,360.74,2061.72,75.98,5,1.0
174208.171000,mp,215,423.76,287.46,416.0,857.86,400.62,320.67,641.15,333.27,2092.13,95.09,5,1.0
174208.234000,mp,216,408.70,283.57,417.0,862.74,395.48,335.43,641.15,333.27,2092.13,106.89,5,1.0
174208.265000,mp,217,391.32,280.25,421.0,865.27,392.98,350.40,639.40,336.66,2088.32,119.99,5,1.0
174208.312000,mp,218,372.90,284.17,426.0,869.18,389.30,364.97,635.99,343.47,2080.70,130.57,5,1.0
174208.359000,mp,219,367.34,289.07,425.0,873.22,385.73,370.55,634.35,346.90,2076.90,132.17,5,1.0
174208.421000,mp,220,376.71,335.68,nan,878.83,381.14,359.18,622.47,374.78,2046.59,107.31,5,0.0
174208.437000,mp,221,390.69,398.06,417.0,880.26,380.02,347.71,609.08,417.75,2001.55,78.57,5,1.0
174208.484000,mp,222,406.70,376.54,423.0,884.66,376.75,339.64,615.11,396.12,2024.01,72.77,5,1.0
174208.546000,mp,223,430.97,345.44,427.0,890.71,372.57,328.60,623.83,371.25,2050.37,65.87,5,1.0
174208.593000,mp,224,434.19,350.15,425.0,895.39,369.59,330.32,623.83,371.25,2050.37,61.89,5,1.0
