t_sec,method,frame_idx,x_px,y_px,z_mm,dot_x_px,dot_y_px,dot_dist_px,x_spiral_px,y_spiral_px,s_spiral_px,err_px,depth_window,valid_depth_fraction
178921.562000,mp,31,1644.90,735.59,400.0,990.00,540.00,521.73,1429.95,541.71,3188.03,198.76,5,1.0
178921.656000,mp,32,1645.16,741.43,400.0,991.71,541.59,521.94,1429.95,541.71,3188.03,204.50,5,1.0
178921.734000,mp,33,1643.34,734.51,400.0,993.33,543.34,515.90,1429.95,541.71,3188.03,197.44,5,1.0
178921.812000,mp,34,1644.56,732.12,400.0,994.85,545.27,513.75,1429.95,541.71,3188.03,195.32,5,1.0
178921.890000,mp,35,1647.67,735.42,400.0,996.26,547.35,515.06,1429.95,541.71,3188.03,199.06,5,1.0
178921.968000,mp,36,1646.54,732.95,400.0,997.55,549.59,511.36,1429.95,541.71,3188.03,196.46,5,1.0
178922.046000,mp,37,1646.36,735.23,400.0,998.69,551.97,510.13,1429.95,541.71,3188.03,198.65,5,1.0
178922.125000,mp,38,1648.94,733.27,400.0,999.69,554.49,509.42,1429.95,541.71,3188.03,197.19,5,1.0
178922.203000,mp,39,1649.04,738.95,400.0,1000.53,557.13,509.78,1429.95,541.71,3188.03,202.73,5,1.0
178922.281000,mp,40,1651.18,736.46,400.0,1001.20,559.90,508.80,1429.95,541.71,3188.03,200.68,5,1.0
178922.359000,mp,41,1650.08,738.31,400.0,1001.69,562.77,507.22,1429.95,541.71,3188.03,202.29,5,1.0
178922.437000,mp,42,1647.43,731.39,400.0,1001.94,565.14,501.96,1429.95,541.71,3188.03,195.09,5,1.0
178922.531000,mp,43,1651.30,736.31,400.0,1002.09,568.80,504.98,1429.95,541.71,3188.03,200.56,5,1.0
178922.609000,mp,44,1651.07,740.41,400.0,1001.99,571.92,505.23,1429.95,541.71,3188.03,204.50,5,1.0
178922.687000,mp,45,1649.24,734.85,400.0,1001.68,575.11,501.37,1429.95,541.71,3188.03,198.78,5,1.0
178922.765000,mp,46,1649.05,736.81,400.0,1001.16,578.34,501.33,1429.95,541.71,3188.03,200.65,5,1.0
178922.843000,mp,47,1649.55,734.44,400.0,1000.41,581.61,500.65,1429.95,541.71,3188.03,198.44,5,1.0
178922.921000,mp,48,1650.87,736.39,400.0,999.43,584.89,502.12,1429.95,541.71,3188.03,200.56,5,1.0
178923.000000,mp,49,1649.65,736.74,400.0,998.23,588.17,501.52,1429.95,541.71,3188.03,200.68,5,1.0
178923.078000,mp,50,1652.14,741.75,400.0,996.79,591.45,505.19,1429.95,541.71,3188.03,206.00,5,1.0
178923.156000,mp,51,1649.44,737.00,400.0,995.12,594.70,502.53,1429.95,541.71,3188.03,200.90,5,1.0
