t_sec,method,frame_idx,x_px,y_px,z_mm,dot_x_px,dot_y_px,dot_dist_px,x_spiral_px,y_spiral_px,s_spiral_px,err_px,depth_window,valid_depth_fraction
179815.046000,mp,45,1454.39,111.72,400.0,995.71,546.50,548.92,1255.24,213.02,2804.49,126.37,5,1.0
179815.390000,mp,51,1520.47,750.29,400.0,1000.53,557.13,426.12,1193.00,672.42,1049.24,202.89,5,1.0
179815.453000,mp,52,1528.09,752.75,400.0,1001.08,559.34,430.84,1193.00,672.42,1049.24,209.11,5,1.0
179815.500000,mp,53,1535.37,752.47,400.0,1001.41,561.04,434.55,1193.00,672.42,1049.24,214.06,5,1.0
179815.562000,mp,54,1524.43,757.95,400.0,1001.76,563.36,428.32,1190.91,677.41,1054.66,208.59,5,1.0
179815.625000,mp,55,1537.54,751.88,400.0,1001.94,565.14,433.49,1429.95,541.71,3188.03,213.37,5,1.0
179815.671000,mp,56,1539.10,753.04,400.0,1002.05,566.95,434.18,1429.95,541.71,3188.03,214.32,5,1.0
179815.734000,mp,57,1548.83,749.52,400.0,1002.09,569.42,438.25,1429.95,541.71,3188.03,209.73,5,1.0
179815.796000,mp,58,1547.13,754.92,400.0,1001.99,571.92,438.37,1429.95,541.71,3188.03,215.26,5,1.0
179815.875000,mp,59,1546.39,764.35,400.0,1001.68,575.11,440.80,1429.95,541.71,3188.03,224.68,5,1.0
179815.921000,mp,60,1529.28,780.08,400.0,1001.39,577.04,435.76,1187.57,684.84,1062.80,220.97,5,1.0
179815.984000,mp,61,1525.42,785.22,400.0,1000.89,579.64,434.84,1185.21,689.75,1068.25,220.58,5,1.0
179816.046000,mp,62,1535.94,776.00,400.0,1000.23,582.26,437.02,1188.71,682.37,1060.08,223.78,5,1.0
179816.171000,mp,64,1293.41,14.98,400.0,998.49,587.52,610.38,1153.09,154.56,2686.44,150.76,5,1.0
179816.234000,mp,65,997.27,169.91,400.0,997.39,590.14,420.34,986.85,123.77,2516.22,46.16,5,1.0
179816.296000,mp,66,961.96,266.60,400.0,996.15,592.75,327.99,971.34,343.38,571.96,77.40,5,1.0
179816.343000,mp,67,957.34,361.01,400.0,995.12,594.70,236.61,955.65,345.90,556.07,15.29,5,1.0
179816.406000,mp,68,973.79,468.58,400.0,993.61,597.26,130.78,990.00,540.00,0.00,74.08,5,1.0
179816.468000,mp,69,991.84,571.33,400.0,992.38,599.17,29.11,1001.95,572.56,35.97,18.11,5,1.0
179816.531000,mp,70,817.44,852.60,400.0,990.61,601.67,286.15,855.59,838.94,1458.48,13.89,5,1.0
