t_sec,method,frame_idx,x_px,y_px,z_mm,dot_x_px,dot_y_px,dot_dist_px,x_spiral_px,y_spiral_px,s_spiral_px,err_px,depth_window,valid_depth_fraction
177933.093000,mp,51,1678.89,815.75,400.0,990.00,540.00,579.04,1429.95,541.71,3188.03,282.65,5,1.0
177933.156000,mp,52,1677.89,825.26,400.0,991.04,540.93,581.62,1429.95,541.71,3188.03,291.70,5,1.0
177933.234000,mp,53,1674.22,824.76,400.0,992.70,542.62,576.70,1429.95,541.71,3188.03,290.58,5,1.0
177933.296000,mp,54,1673.33,823.42,400.0,993.95,544.09,573.65,1429.95,541.71,3188.03,289.13,5,1.0
177933.343000,mp,55,1672.22,825.90,400.0,994.85,545.27,572.77,1429.95,541.71,3188.03,291.36,5,1.0
177933.406000,mp,56,1675.89,825.41,400.0,995.99,546.92,573.14,1429.95,541.71,3188.03,291.50,5,1.0
177933.453000,mp,57,1674.70,825.12,400.0,996.79,548.23,570.88,1429.95,541.71,3188.03,291.01,5,1.0
177933.515000,mp,58,1674.70,824.08,400.0,997.79,550.05,568.63,1429.95,541.71,3188.03,290.01,5,1.0
177933.562000,mp,59,1675.86,824.32,400.0,998.47,551.48,568.21,1429.95,541.71,3188.03,290.43,5,1.0
177933.625000,mp,60,1675.10,822.97,400.0,999.31,553.46,565.39,1429.95,541.71,3188.03,288.99,5,1.0
177933.671000,mp,61,1676.09,825.59,400.0,999.87,555.01,566.06,1429.95,541.71,3188.03,291.71,5,1.0
177933.734000,mp,62,1676.24,824.84,400.0,1000.53,557.13,564.21,1429.95,541.71,3188.03,291.01,5,1.0
177933.796000,mp,63,1675.97,825.74,400.0,1001.08,559.34,562.93,1429.95,541.71,3188.03,291.84,5,1.0
177933.843000,mp,64,1675.13,825.57,400.0,1001.41,561.04,561.19,1429.95,541.71,3188.03,291.52,5,1.0
177933.906000,mp,65,1677.51,824.56,400.0,1001.76,563.36,560.90,1429.95,541.71,3188.03,290.96,5,1.0
177933.953000,mp,66,1679.24,827.01,400.0,1001.94,565.14,562.20,1429.95,541.71,3188.03,293.64,5,1.0
177934.000000,mp,67,1678.65,825.77,400.0,1002.05,566.95,560.29,1429.95,541.71,3188.03,292.33,5,1.0
177934.046000,mp,68,1676.93,826.02,400.0,1002.09,568.18,558.67,1429.95,541.71,3188.03,292.27,5,1.0
177934.093000,mp,69,1677.60,826.92,400.0,1002.08,570.04,558.69,1429.95,541.71,3188.03,293.27,5,1.0
177934.156000,mp,70,1678.05,827.46,400.0,1001.95,572.56,558.19,1429.95,541.71,3188.03,293.87,5,1.0
177934.218000,mp,71,1676.66,826.77,400.0,1001.68,575.11,556.02,1429.95,541.71,3188.03,292.96,5,1.0
177934.265000,mp,72,1677.27,827.89,400.0,1001.39,577.04,556.32,1429.95,541.71,3188.03,294.16,5,1.0
177934.312000,mp,73,1676.80,827.20,400.0,1001.03,578.99,555.15,1429.95,541.71,3188.03,293.40,5,1.0
177934.375000,mp,74,1676.08,828.84,400.0,1000.41,581.61,554.78,1429.95,541.71,3188.03,294.88,5,1.0
177934.421000,mp,75,1676.41,827.68,400.0,999.85,583.57,554.12,1429.95,541.71,3188.03,293.80,5,1.0
177934.500000,mp,76,1676.29,828.43,400.0,998.74,586.86,553.93,1429.95,541.71,3188.03,294.51,5,1.0
177934.546000,mp,77,1675.88,828.00,400.0,997.96,588.83,553.31,1429.95,541.71,3188.03,294.03,5,1.0
177934.593000,mp,78,1675.99,830.04,400.0,997.10,590.80,554.20,1429.95,541.71,3188.03,296.02,5,1.0
177934.656000,mp,79,1676.59,832.77,400.0,995.82,593.40,555.81,1429.95,541.71,3188.03,298.78,5,1.0
177934.703000,mp,80,1673.70,831.28,400.0,994.76,595.34,553.34,1429.95,541.71,3188.03,296.86,5,1.0
177934.750000,mp,81,1671.48,832.30,400.0,993.61,597.26,552.48,1429.95,541.71,3188.03,297.48,5,1.0
177934.796000,mp,82,1673.60,829.73,400.0,992.38,599.17,553.16,1429.95,541.71,3188.03,295.33,5,1.0
177934.859000,mp,83,1673.75,833.13,400.0,991.07,601.05,555.09,1429.95,541.71,3188.03,298.66,5,1.0
177934.906000,mp,84,1672.07,831.26,400.0,989.67,602.90,553.67,1429.95,541.71,3188.03,296.57,5,1.0
177934.953000,mp,85,1673.36,830.29,400.0,988.19,604.73,554.75,1429.95,541.71,3188.03,295.83,5,1.0
177935.015000,mp,86,1673.53,830.04,400.0,986.09,607.11,555.73,1429.95,541.71,3188.03,295.61,5,1.0
177935.062000,mp,87,1673.49,829.86,400.0,984.42,608.85,556.47,1429.95,541.71,3188.03,295.43,5,1.0
177935.109000,mp,88,1672.73,827.26,400.0,982.66,610.55,555.87,1429.95,541.71,3188.03,292.77,5,1.0
177935.171000,mp,89,1673.83,829.58,400.0,980.20,612.75,558.95,1429.95,541.71,3188.03,295.21,5,1.0
177935.234000,mp,90,1674.59,829.65,400.0,977.59,614.86,561.09,1429.95,541.71,3188.03,295.41,5,1.0
