t_sec,method,frame_idx,x_px,y_px,z_mm,dot_x_px,dot_y_px,dot_dist_px,x_spiral_px,y_spiral_px,s_spiral_px,err_px,depth_window,valid_depth_fraction
179024.406000,mp,19,1887.19,748.72,400.0,990.00,540.00,697.36,1429.95,541.71,3188.03,306.07,5,1.0
179024.500000,mp,20,1881.35,749.89,400.0,991.71,541.59,691.43,1429.95,541.71,3188.03,303.66,5,1.0
179024.593000,mp,21,1882.32,744.91,400.0,993.65,543.72,688.16,1429.95,541.71,3188.03,300.80,5,1.0
179024.671000,mp,22,1879.70,751.33,400.0,995.15,545.67,686.18,1429.95,541.71,3188.03,303.75,5,1.0
179024.750000,mp,23,1879.16,743.64,400.0,996.53,547.79,681.58,1429.95,541.71,3188.03,298.20,5,1.0
179024.843000,mp,24,1879.23,751.56,400.0,998.02,550.52,681.71,1429.95,541.71,3188.03,303.65,5,1.0
179024.937000,mp,25,1880.75,743.24,400.0,999.31,553.46,678.34,1429.95,541.71,3188.03,298.81,5,1.0
179025.015000,mp,26,1883.73,744.53,400.0,1000.21,556.06,679.25,1429.95,541.71,3188.03,301.33,5,1.0
179025.093000,mp,27,1884.41,742.30,400.0,1000.95,558.78,677.68,1429.95,541.71,3188.03,300.21,5,1.0
179025.187000,mp,28,1881.47,742.75,400.0,1001.60,562.19,674.13,1429.95,541.71,3188.03,298.88,5,1.0
179025.265000,mp,29,1881.80,748.24,400.0,1001.89,564.54,674.94,1429.95,541.71,3188.03,302.78,5,1.0
179025.359000,mp,30,1882.08,747.24,400.0,1002.09,568.18,673.70,1429.95,541.71,3188.03,302.25,5,1.0
179025.437000,mp,31,1884.87,742.54,400.0,1002.03,571.29,673.75,1429.95,541.71,3188.03,300.63,5,1.0
179025.531000,mp,32,1883.10,741.88,400.0,1001.68,575.11,671.67,1429.95,541.71,3188.03,299.20,5,1.0
179025.609000,mp,33,1883.34,748.33,400.0,1001.16,578.34,673.17,1429.95,541.71,3188.03,303.69,5,1.0
179025.703000,mp,34,1880.63,742.14,400.0,1000.23,582.26,669.61,1429.95,541.71,3188.03,298.00,5,1.0
179025.796000,mp,35,1881.48,751.67,400.0,998.98,586.20,672.80,1429.95,541.71,3188.03,304.96,5,1.0
179025.890000,mp,36,1881.34,748.47,400.0,997.39,590.14,672.51,1429.95,541.71,3188.03,302.69,5,1.0
179025.968000,mp,37,1883.36,742.01,400.0,995.82,593.40,673.31,1429.95,541.71,3188.03,299.43,5,1.0
179026.046000,mp,38,1879.58,748.92,400.0,994.00,596.62,673.13,1429.95,541.71,3188.03,302.03,5,1.0
179026.140000,mp,39,1880.61,745.37,400.0,991.96,599.80,674.40,1429.95,541.71,3188.03,300.17,5,1.0
179026.218000,mp,40,1877.63,742.60,400.0,989.67,602.90,673.20,1429.95,541.71,3188.03,296.65,5,1.0
179026.296000,mp,41,1880.14,750.80,400.0,987.16,605.92,678.59,1429.95,541.71,3188.03,303.63,5,1.0
179026.375000,mp,42,1880.92,751.20,400.0,984.42,608.85,681.31,1429.95,541.71,3188.03,304.33,5,1.0
179026.453000,mp,43,1879.14,749.11,400.0,981.45,611.66,681.91,1429.95,541.71,3188.03,301.92,5,1.0
179026.546000,mp,44,1877.48,742.05,400.0,977.59,614.86,682.48,1429.95,541.71,3188.03,296.20,5,1.0
179026.625000,mp,45,1876.65,747.05,400.0,974.14,617.37,685.72,1429.95,541.71,3188.03,299.14,5,1.0
179026.703000,mp,46,1879.08,747.43,400.0,970.49,619.71,690.73,1429.95,541.71,3188.03,300.73,5,1.0
