t_sec,method,frame_idx,x_px,y_px,z_mm,dot_x_px,dot_y_px,dot_dist_px,x_spiral_px,y_spiral_px,s_spiral_px,err_px,depth_window,valid_depth_fraction
178779.406000,mp,54,1578.79,758.45,400.0,990.00,540.00,485.96,1429.95,541.71,3188.03,216.83,5,1.0
178779.453000,mp,55,1582.02,761.65,400.0,990.69,540.61,488.67,1429.95,541.71,3188.03,219.98,5,1.0
178779.609000,mp,56,1579.48,763.17,400.0,993.95,544.09,483.18,1429.95,541.71,3188.03,221.53,5,1.0
178779.671000,mp,57,1579.94,768.23,400.0,995.15,545.67,484.01,1429.95,541.71,3188.03,226.58,5,1.0
178779.750000,mp,58,1569.98,767.55,400.0,996.53,547.79,474.87,1429.95,541.71,3188.03,226.19,5,1.0
178779.796000,mp,59,1568.04,767.36,400.0,997.30,549.13,472.19,1429.95,541.71,3188.03,226.09,5,1.0
178779.859000,mp,60,1564.30,762.42,400.0,998.25,551.00,465.73,1429.95,541.71,3188.03,221.35,5,1.0
178779.906000,mp,61,1561.54,764.08,400.0,998.90,552.46,463.39,1429.95,541.71,3188.03,223.17,5,1.0
178779.984000,mp,62,1561.10,763.71,400.0,999.87,555.01,460.91,1429.95,541.71,3188.03,222.83,5,1.0
178780.046000,mp,63,1556.47,764.23,400.0,1000.53,557.13,456.50,1429.95,541.71,3188.03,223.67,5,1.0
178780.093000,mp,64,1556.04,763.39,400.0,1000.95,558.78,454.71,1429.95,541.71,3188.03,222.87,5,1.0
178780.171000,mp,65,1551.58,761.55,400.0,1001.51,561.61,449.13,1429.95,541.71,3188.03,221.41,5,1.0
178780.234000,mp,66,1552.74,761.96,400.0,1001.83,563.95,448.77,1429.95,541.71,3188.03,221.71,5,1.0
178780.281000,mp,67,1548.94,759.80,400.0,1001.94,565.14,444.63,1429.95,541.71,3188.03,219.92,5,1.0
178780.343000,mp,68,1552.09,762.41,400.0,1002.07,567.57,446.73,1429.95,541.71,3188.03,222.22,5,1.0
178780.406000,mp,69,1548.86,756.98,400.0,1002.08,570.04,441.13,1429.95,541.71,3188.03,217.13,5,1.0
178780.468000,mp,70,1551.91,759.39,400.0,1001.95,572.56,443.28,1429.95,541.71,3188.03,219.23,5,1.0
178780.515000,mp,71,1555.00,760.45,400.0,1001.76,574.47,445.20,1429.95,541.71,3188.03,220.02,5,1.0
178780.578000,mp,72,1553.79,760.26,400.0,1001.39,577.04,443.55,1429.95,541.71,3188.03,219.93,5,1.0
178780.625000,mp,73,1555.18,758.46,400.0,1001.03,578.99,443.31,1429.95,541.71,3188.03,218.03,5,1.0
178780.671000,mp,74,1553.34,760.57,400.0,1000.58,580.95,442.52,1429.95,541.71,3188.03,220.28,5,1.0
178780.734000,mp,75,1555.57,760.77,400.0,999.85,583.57,443.74,1429.95,541.71,3188.03,220.30,5,1.0
178780.781000,mp,76,1555.95,765.23,400.0,999.21,585.55,445.59,1429.95,541.71,3188.03,224.71,5,1.0
178780.843000,mp,77,1555.03,760.42,400.0,998.23,588.17,442.90,1429.95,541.71,3188.03,219.99,5,1.0
178780.890000,mp,78,1557.22,763.06,400.0,997.39,590.14,445.45,1429.95,541.71,3188.03,222.45,5,1.0
178780.953000,mp,79,1555.02,763.87,400.0,996.15,592.75,444.38,1429.95,541.71,3188.03,223.42,5,1.0
178781.000000,mp,80,1555.71,765.77,400.0,995.12,594.70,445.79,1429.95,541.71,3188.03,225.26,5,1.0
178781.046000,mp,81,1556.04,763.87,400.0,994.00,596.62,445.61,1429.95,541.71,3188.03,223.35,5,1.0
178781.093000,mp,82,1558.72,771.45,400.0,992.80,598.54,450.72,1429.95,541.71,3188.03,230.70,5,1.0
178781.156000,mp,83,1560.24,768.89,400.0,991.52,600.42,451.29,1429.95,541.71,3188.03,228.04,5,1.0
178781.218000,mp,84,1559.69,772.34,400.0,989.67,602.90,452.98,1429.95,541.71,3188.03,231.52,5,1.0
178781.265000,mp,85,1559.70,775.42,400.0,988.19,604.73,454.83,1429.95,541.71,3188.03,234.59,5,1.0
178781.312000,mp,86,1559.47,773.67,400.0,986.63,606.52,454.80,1429.95,541.71,3188.03,232.85,5,1.0
178781.359000,mp,87,1556.74,772.42,400.0,984.98,608.27,453.33,1429.95,541.71,3188.03,231.80,5,1.0
178781.421000,mp,88,1558.41,776.72,400.0,982.66,610.55,457.40,1429.95,541.71,3188.03,235.96,5,1.0
178781.468000,mp,89,1556.92,773.84,400.0,980.83,612.21,456.44,1429.95,541.71,3188.03,233.20,5,1.0
178781.531000,mp,90,1557.05,774.52,400.0,978.26,614.34,458.42,1429.95,541.71,3188.03,233.86,5,1.0
178781.578000,mp,91,1557.84,777.92,400.0,976.24,615.88,461.52,1429.95,541.71,3188.03,237.20,5,1.0
178781.625000,mp,92,1556.41,776.98,400.0,974.14,617.37,461.63,1429.95,541.71,3188.03,236.36,5,1.0
178781.656000,mp,93,1555.08,777.53,400.0,972.70,618.33,461.91,1429.95,541.71,3188.03,237.01,5,1.0
178781.718000,mp,94,1555.61,770.52,400.0,969.73,620.16,462.12,1429.95,541.71,3188.03,230.00,5,1.0
178781.765000,mp,95,1556.00,777.08,400.0,967.42,621.46,466.32,1429.95,541.71,3188.03,236.49,5,1.0
178781.812000,mp,96,1555.76,779.62,400.0,965.03,622.70,468.83,1188.71,682.37,1060.08,238.81,5,1.0
178781.875000,mp,97,1559.41,783.82,400.0,961.75,624.23,475.39,1429.95,541.71,3188.03,242.97,5,1.0
178781.921000,mp,98,1557.39,783.21,400.0,959.21,625.30,475.80,1188.71,682.37,1060.08,241.40,5,1.0
178781.968000,mp,99,1554.15,785.61,400.0,956.62,626.28,476.43,1187.57,684.84,1062.80,240.21,5,1.0
178782.046000,mp,100,1547.74,779.05,400.0,953.06,627.47,472.71,1188.71,682.37,1060.08,233.10,5,1.0
178782.109000,mp,101,1547.32,779.62,400.0,949.40,628.52,475.73,1188.71,682.37,1060.08,233.05,5,1.0
178782.171000,mp,102,1553.53,776.99,400.0,945.64,629.40,482.62,1189.82,679.90,1057.37,236.21,5,1.0
178782.234000,mp,103,1552.00,776.64,400.0,941.80,630.13,484.86,1189.82,679.90,1057.37,235.01,5,1.0
178782.296000,mp,104,1553.58,774.31,400.0,937.88,630.69,488.88,1429.95,541.71,3188.03,233.92,5,1.0
178782.375000,mp,105,1548.48,772.91,400.0,932.88,631.15,489.46,1189.82,679.90,1057.37,231.08,5,1.0
178782.421000,mp,106,1547.18,771.55,400.0,929.83,631.29,491.02,1189.82,679.90,1057.37,229.65,5,1.0
178782.484000,mp,107,1551.45,772.34,400.0,925.71,631.32,498.25,1429.95,541.71,3188.03,232.14,5,1.0
178782.531000,mp,108,1549.05,772.43,400.0,922.59,631.23,499.57,1189.82,679.90,1057.37,231.29,5,1.0
178782.593000,mp,109,1551.97,771.98,400.0,918.39,630.93,505.67,1429.95,541.71,3188.03,231.73,5,1.0
178782.640000,mp,110,1545.46,772.30,400.0,915.21,630.58,504.21,1189.82,679.90,1057.37,228.76,5,1.0
178782.687000,mp,111,1546.37,768.13,400.0,912.02,630.12,506.90,1190.91,677.41,1054.66,227.72,5,1.0
178782.734000,mp,112,1544.14,768.77,400.0,908.82,629.56,508.70,1190.91,677.41,1054.66,226.44,5,1.0
178782.781000,mp,113,1545.16,772.71,400.0,905.61,628.88,513.81,1189.82,679.90,1057.37,228.73,5,1.0
178782.843000,mp,114,1545.36,773.87,400.0,901.32,627.79,518.69,1189.82,679.90,1057.37,229.34,5,1.0
178782.890000,mp,115,1546.47,770.72,400.0,899.17,627.18,520.85,1189.82,679.90,1057.37,228.83,5,1.0
178782.937000,mp,116,1549.18,771.40,400.0,895.96,626.16,526.36,1189.82,679.90,1057.37,230.96,5,1.0
178782.984000,mp,117,1549.13,773.54,400.0,892.75,625.02,530.32,1189.82,679.90,1057.37,231.79,5,1.0
178783.031000,mp,118,1548.50,772.08,400.0,889.56,623.77,532.87,1189.82,679.90,1057.37,230.77,5,1.0
178783.093000,mp,119,1548.64,774.24,400.0,885.32,621.92,538.16,1189.82,679.90,1057.37,231.73,5,1.0
