t_sec,method,frame_idx,x_px,y_px,z_mm,dot_x_px,dot_y_px,dot_dist_px,x_spiral_px,y_spiral_px,s_spiral_px,err_px,depth_window,valid_depth_fraction
5326.968000,hsv,88,1009.50,543.13,284.0,990.00,540.00,7.78,994.56,544.87,6.68,3.10,5,1.0
5327.000000,hsv,89,1012.43,540.38,282.0,990.69,540.61,8.63,994.26,544.48,6.19,6.52,5,1.0
5327.046000,hsv,90,1009.45,544.56,283.0,991.37,541.26,6.60,995.15,545.67,7.68,2.24,5,1.0
5327.078000,hsv,91,1009.50,543.13,283.0,992.04,541.92,5.22,994.56,544.87,6.68,3.10,5,1.0
5327.109000,hsv,92,1009.59,540.29,282.0,992.70,542.62,5.06,993.33,543.34,4.73,4.92,5,1.0
5327.125000,hsv,93,1005.18,544.42,281.0,993.02,542.98,1.68,993.95,544.09,5.70,0.34,5,1.0
5327.171000,hsv,94,1003.71,545.80,nan,993.95,544.09,2.07,994.26,544.48,6.19,1.98,5,0.0
5327.203000,hsv,95,1008.12,541.67,281.0,994.56,544.87,3.55,993.65,543.72,5.21,3.19,5,1.0
5327.250000,hsv,96,1003.71,545.80,280.0,995.43,546.08,2.66,994.26,544.48,6.19,1.98,5,1.0
5327.281000,hsv,97,1008.03,544.51,282.0,995.99,546.92,2.41,994.85,545.27,7.18,1.39,5,1.0
5327.296000,hsv,98,1009.36,547.41,nan,996.26,547.35,0.76,996.53,547.79,10.20,0.62,5,0.0
5327.328000,hsv,99,1009.27,550.25,280.0,996.79,548.23,2.03,997.79,550.05,12.80,0.86,5,1.0
5327.375000,hsv,100,1009.18,553.10,281.0,997.55,549.59,3.57,998.90,552.46,15.45,2.12,5,1.0
5327.390000,hsv,101,1007.57,558.75,282.0,997.79,550.05,8.95,1000.67,557.68,20.97,5.11,5,1.0
5327.421000,hsv,102,1007.53,560.17,283.0,998.25,551.00,9.53,1000.95,558.78,22.10,5.48,5,1.0
